material_id,plant_id,warehouse_id,unrestricted_qty,quality_hold_qty,blocked_qty,reserved_qty,snapshot_date
MAT-00018,PLT-IN-03,WH-07,211,2,4,13,2026-07-16
MAT-00019,PLT-IN-03,WH-07,189,3,4,30,2026-07-16
MAT-00019,PLT-US-01,WH-01,287,5,3,9,2026-07-21
MAT-00020,PLT-DE-02,WH-04,1403,61,27,119,2026-07-16
MAT-00021,PLT-DE-02,WH-04,349,18,3,19,2026-07-16
MAT-00021,PLT-IN-03,WH-07,410,3,6,69,2026-07-16
MAT-00022,PLT-DE-02,WH-04,76,1,1,4,2026-07-16
MAT-00022,PLT-US-01,WH-01,103,3,2,6,2026-07-21
MAT-00023,PLT-DE-02,WH-04,828,27,15,7,2026-07-21
MAT-00023,PLT-IN-03,WH-07,1118,30,7,113,2026-07-16
MAT-00024,PLT-IN-03,WH-07,1811,59,12,86,2026-07-21
MAT-00024,PLT-US-01,WH-01,513,2,11,45,2026-07-16
MAT-00025,PLT-DE-02,WH-04,1507,47,0,56,2026-07-16
MAT-00025,PLT-US-01,WH-01,2848,59,36,142,2026-07-21
MAT-00026,PLT-DE-02,WH-04,398,19,3,22,2026-07-21
MAT-00026,PLT-US-01,WH-01,7,0,0,7,2026-07-16
MAT-00027,PLT-DE-02,WH-04,498,11,2,27,2026-07-21
MAT-00027,PLT-IN-03,WH-07,220,4,5,20,2026-07-16
MAT-00027,PLT-US-01,WH-01,192,7,3,2,2026-07-21
MAT-00028,PLT-IN-03,WH-07,275,16,2,32,2026-07-16
MAT-00029,PLT-DE-02,WH-04,1075,29,19,92,2026-07-21
MAT-00029,PLT-IN-03,WH-07,764,40,3,93,2026-07-16
MAT-00029,PLT-US-01,WH-01,2486,55,4,170,2026-07-21
MAT-00030,PLT-IN-03,WH-07,236,12,2,11,2026-07-16
MAT-00031,PLT-DE-02,WH-04,128,7,0,11,2026-07-16
MAT-00031,PLT-US-01,WH-01,154,2,0,12,2026-07-21
MAT-00032,PLT-DE-02,WH-04,1513,11,30,165,2026-07-16
MAT-00033,PLT-IN-03,WH-07,497,4,9,3,2026-07-21
MAT-00033,PLT-US-01,WH-01,441,16,13,44,2026-07-16
MAT-00034,PLT-DE-02,WH-04,355,3,6,18,2026-07-16
MAT-00034,PLT-US-01,WH-01,849,20,4,21,2026-07-21
MAT-00035,PLT-DE-02,WH-04,1984,33,37,159,2026-07-21
MAT-00035,PLT-IN-03,WH-07,2105,11,37,181,2026-07-21
MAT-00035,PLT-US-01,WH-01,1036,21,24,41,2026-07-16
MAT-00036,PLT-US-01,WH-01,76,4,2,6,2026-07-16
MAT-00037,PLT-IN-03,WH-07,753,35,7,65,2026-07-21
MAT-00037,PLT-US-01,WH-01,362,2,1,42,2026-07-16
MAT-00038,PLT-US-01,WH-01,772,20,16,112,2026-07-16
MAT-00039,PLT-DE-02,WH-04,172,2,4,33,2026-07-16
MAT-00039,PLT-US-01,WH-01,1139,9,22,9,2026-07-21
MAT-00040,PLT-DE-02,WH-04,109,5,0,10,2026-07-21
MAT-00040,PLT-IN-03,WH-07,51,1,0,6,2026-07-16
MAT-00041,PLT-IN-03,WH-07,71,1,1,4,2026-07-16
MAT-00042,PLT-DE-02,WH-04,707,34,1,37,2026-07-21
MAT-00042,PLT-IN-03,WH-07,682,21,18,65,2026-07-16
MAT-00043,PLT-DE-02,WH-04,1410,27,34,108,2026-07-16
MAT-00043,PLT-US-01,WH-01,2500,72,36,146,2026-07-21
MAT-00044,PLT-DE-02,WH-04,352,9,8,41,2026-07-16
MAT-00045,PLT-DE-02,WH-04,482,3,10,60,2026-07-16
MAT-00046,PLT-DE-02,WH-04,209,6,6,20,2026-07-16
MAT-00046,PLT-IN-03,WH-07,293,9,0,22,2026-07-21
MAT-00047,PLT-IN-03,WH-07,582,32,4,46,2026-07-16
MAT-00048,PLT-DE-02,WH-04,2794,131,6,65,2026-07-21
MAT-00048,PLT-IN-03,WH-07,830,48,3,38,2026-07-16
MAT-00049,PLT-US-01,WH-01,432,20,2,44,2026-07-16
MAT-00050,PLT-DE-02,WH-04,1287,30,11,24,2026-07-21
MAT-00050,PLT-US-01,WH-01,460,19,3,40,2026-07-16
MAT-00051,PLT-US-01,WH-01,701,1,6,46,2026-07-16
MAT-00052,PLT-DE-02,WH-04,457,27,7,71,2026-07-16
MAT-00053,PLT-DE-02,WH-04,635,27,3,56,2026-07-16
MAT-00053,PLT-US-01,WH-01,590,6,14,53,2026-07-16
MAT-00054,PLT-DE-02,WH-04,154,4,4,10,2026-07-16
MAT-00054,PLT-IN-03,WH-07,237,7,5,23,2026-07-16
MAT-00054,PLT-US-01,WH-01,158,3,2,5,2026-07-21
MAT-00055,PLT-DE-02,WH-04,459,24,9,38,2026-07-16
MAT-00056,PLT-DE-02,WH-04,1091,21,20,145,2026-07-16
MAT-00057,PLT-DE-02,WH-04,650,25,2,46,2026-07-16
MAT-00058,PLT-DE-02,WH-04,319,10,7,25,2026-07-16
MAT-00058,PLT-IN-03,WH-07,391,6,8,21,2026-07-21
MAT-00059,PLT-IN-03,WH-07,522,12,4,18,2026-07-16
MAT-00060,PLT-US-01,WH-01,579,17,15,29,2026-07-16
MAT-00061,PLT-DE-02,WH-04,195,5,4,19,2026-07-16
MAT-00061,PLT-US-01,WH-01,146,2,2,11,2026-07-16
MAT-00062,PLT-DE-02,WH-04,149,9,4,16,2026-07-16
MAT-00063,PLT-US-01,WH-01,21,0,0,21,2026-07-16
MAT-00064,PLT-DE-02,WH-04,1041,8,17,80,2026-07-21
MAT-00064,PLT-IN-03,WH-07,1328,45,6,59,2026-07-21
MAT-00064,PLT-US-01,WH-01,382,12,1,37,2026-07-16
MAT-00065,PLT-US-01,WH-01,1101,61,4,128,2026-07-16
MAT-00066,PLT-DE-02,WH-04,3861,191,2,118,2026-07-16
MAT-00066,PLT-IN-03,WH-07,2383,66,33,30,2026-07-21
MAT-00067,PLT-IN-03,WH-07,1282,30,30,55,2026-07-16
MAT-00067,PLT-US-01,WH-01,1094,16,20,54,2026-07-21
MAT-00068,PLT-DE-02,WH-04,2051,39,28,136,2026-07-21
MAT-00068,PLT-IN-03,WH-07,455,19,12,60,2026-07-16
MAT-00069,PLT-DE-02,WH-04,990,8,6,74,2026-07-21
MAT-00069,PLT-US-01,WH-01,1633,7,38,153,2026-07-16
MAT-00070,PLT-US-01,WH-01,1268,46,28,68,2026-07-16
MAT-00071,PLT-DE-02,WH-04,1320,30,22,143,2026-07-16
MAT-00071,PLT-IN-03,WH-07,1733,57,31,151,2026-07-21
MAT-00071,PLT-US-01,WH-01,952,36,9,53,2026-07-16
MAT-00072,PLT-DE-02,WH-04,1151,30,4,43,2026-07-21
MAT-00072,PLT-IN-03,WH-07,1166,14,1,87,2026-07-16
MAT-00072,PLT-US-01,WH-01,493,14,3,49,2026-07-16
MAT-00073,PLT-IN-03,WH-07,1142,17,14,79,2026-07-16
MAT-00073,PLT-US-01,WH-01,34,1,1,34,2026-07-16
MAT-00074,PLT-DE-02,WH-04,546,7,15,59,2026-07-16
MAT-00074,PLT-IN-03,WH-07,766,33,10,59,2026-07-21
MAT-00075,PLT-IN-03,WH-07,237,2,5,33,2026-07-16
MAT-00075,PLT-US-01,WH-01,195,10,3,7,2026-07-21
MAT-00076,PLT-DE-02,WH-04,532,20,2,36,2026-07-16
MAT-00076,PLT-IN-03,WH-07,512,16,2,28,2026-07-16
MAT-00076,PLT-US-01,WH-01,1041,10,12,8,2026-07-21
MAT-00077,PLT-DE-02,WH-04,409,7,12,13,2026-07-16
MAT-00077,PLT-US-01,WH-01,564,13,9,46,2026-07-21
MAT-00078,PLT-IN-03,WH-07,802,13,12,45,2026-07-16
MAT-00078,PLT-US-01,WH-01,1611,9,18,117,2026-07-16
MAT-00079,PLT-US-01,WH-01,143,3,1,15,2026-07-16
MAT-00080,PLT-IN-03,WH-07,2171,15,11,139,2026-07-21
MAT-00080,PLT-US-01,WH-01,1801,30,44,46,2026-07-16
MAT-00081,PLT-DE-02,WH-04,399,18,11,88,2026-07-16
MAT-00081,PLT-US-01,WH-01,1102,24,10,117,2026-07-16
MAT-00082,PLT-DE-02,WH-04,511,29,8,29,2026-07-16
MAT-00082,PLT-US-01,WH-01,1007,37,14,90,2026-07-21
MAT-00083,PLT-US-01,WH-01,251,11,2,23,2026-07-16
MAT-00084,PLT-IN-03,WH-07,401,21,3,36,2026-07-16
MAT-00085,PLT-DE-02,WH-04,2198,82,2,133,2026-07-21
MAT-00085,PLT-IN-03,WH-07,1216,24,23,105,2026-07-16
MAT-00086,PLT-DE-02,WH-04,665,9,8,30,2026-07-16
MAT-00086,PLT-US-01,WH-01,534,4,1,36,2026-07-21
MAT-00087,PLT-DE-02,WH-04,401,3,4,14,2026-07-21
MAT-00087,PLT-IN-03,WH-07,155,6,2,10,2026-07-16
MAT-00088,PLT-DE-02,WH-04,495,2,8,52,2026-07-16
MAT-00088,PLT-US-01,WH-01,1089,52,2,69,2026-07-21
MAT-00089,PLT-DE-02,WH-04,120,6,0,6,2026-07-21
MAT-00089,PLT-IN-03,WH-07,62,3,1,6,2026-07-16
MAT-00090,PLT-DE-02,WH-04,845,45,25,58,2026-07-16
MAT-00091,PLT-US-01,WH-01,280,8,3,24,2026-07-16
MAT-00092,PLT-DE-02,WH-04,1217,32,27,99,2026-07-16
MAT-00092,PLT-IN-03,WH-07,655,33,16,36,2026-07-16
MAT-00093,PLT-IN-03,WH-07,2179,92,38,82,2026-07-16
MAT-00094,PLT-IN-03,WH-07,145,1,2,6,2026-07-16
MAT-00094,PLT-US-01,WH-01,112,2,1,0,2026-07-21
MAT-00095,PLT-US-01,WH-01,476,13,14,21,2026-07-16
MAT-00096,PLT-DE-02,WH-04,3007,90,86,99,2026-07-16
MAT-00096,PLT-US-01,WH-01,1390,52,0,103,2026-07-16
MAT-00097,PLT-DE-02,WH-04,868,45,1,90,2026-07-16
MAT-00098,PLT-IN-03,WH-07,954,50,9,38,2026-07-16
MAT-00099,PLT-DE-02,WH-04,471,23,8,62,2026-07-16
MAT-00100,PLT-US-01,WH-01,127,1,3,18,2026-07-16
MAT-00101,PLT-DE-02,WH-04,684,24,13,34,2026-07-21
MAT-00101,PLT-IN-03,WH-07,344,20,6,31,2026-07-16
MAT-00102,PLT-DE-02,WH-04,613,12,9,45,2026-07-16
MAT-00102,PLT-US-01,WH-01,1745,73,9,14,2026-07-21
MAT-00103,PLT-DE-02,WH-04,113,5,2,12,2026-07-16
MAT-00104,PLT-IN-03,WH-07,245,11,4,36,2026-07-16
MAT-00105,PLT-DE-02,WH-04,1193,15,3,57,2026-07-16
MAT-00105,PLT-US-01,WH-01,2954,100,7,288,2026-07-21
MAT-00106,PLT-DE-02,WH-04,1114,35,3,73,2026-07-16
MAT-00106,PLT-US-01,WH-01,2240,56,17,126,2026-07-21
MAT-00107,PLT-US-01,WH-01,288,8,2,45,2026-07-16
MAT-00108,PLT-DE-02,WH-04,832,18,4,53,2026-07-16
MAT-00108,PLT-IN-03,WH-07,912,25,2,90,2026-07-21
MAT-00108,PLT-US-01,WH-01,480,5,10,40,2026-07-16
MAT-00109,PLT-IN-03,WH-07,1502,54,40,167,2026-07-16
MAT-00110,PLT-DE-02,WH-04,459,17,5,28,2026-07-21
MAT-00110,PLT-IN-03,WH-07,169,8,2,12,2026-07-16
MAT-00110,PLT-US-01,WH-01,610,12,0,21,2026-07-21
MAT-00111,PLT-DE-02,WH-04,375,11,5,23,2026-07-16
MAT-00111,PLT-IN-03,WH-07,513,1,5,72,2026-07-16
MAT-00111,PLT-US-01,WH-01,1312,34,21,95,2026-07-21
MAT-00112,PLT-DE-02,WH-04,696,3,9,61,2026-07-21
MAT-00112,PLT-IN-03,WH-07,467,3,1,53,2026-07-16
MAT-00112,PLT-US-01,WH-01,418,18,7,20,2026-07-16
MAT-00113,PLT-IN-03,WH-07,315,15,2,26,2026-07-16
MAT-00113,PLT-US-01,WH-01,750,10,1,21,2026-07-21
MAT-00114,PLT-US-01,WH-01,1138,58,1,124,2026-07-16
MAT-00115,PLT-DE-02,WH-04,899,17,27,71,2026-07-16
MAT-00116,PLT-DE-02,WH-04,1195,30,22,115,2026-07-21
MAT-00116,PLT-US-01,WH-01,706,13,17,86,2026-07-16
MAT-00117,PLT-DE-02,WH-04,382,11,6,30,2026-07-16
MAT-00118,PLT-DE-02,WH-04,579,22,7,15,2026-07-21
MAT-00118,PLT-IN-03,WH-07,836,3,15,76,2026-07-21
MAT-00118,PLT-US-01,WH-01,1129,58,24,120,2026-07-16
MAT-00119,PLT-IN-03,WH-07,41,2,0,11,2026-07-16
MAT-00119,PLT-US-01,WH-01,78,0,0,5,2026-07-21
MAT-00120,PLT-DE-02,WH-04,1886,103,0,76,2026-07-16
MAT-00121,PLT-IN-03,WH-07,903,6,8,56,2026-07-21
MAT-00121,PLT-US-01,WH-01,543,13,10,56,2026-07-16
MAT-00122,PLT-IN-03,WH-07,130,1,2,18,2026-07-16
MAT-00122,PLT-US-01,WH-01,237,11,4,4,2026-07-21
MAT-00123,PLT-DE-02,WH-04,1180,56,24,66,2026-07-21
MAT-00123,PLT-US-01,WH-01,671,9,6,93,2026-07-16
MAT-00124,PLT-DE-02,WH-04,66,2,1,28,2026-07-16
MAT-00124,PLT-US-01,WH-01,376,22,10,37,2026-07-16
MAT-00125,PLT-IN-03,WH-07,181,5,3,21,2026-07-16
MAT-00126,PLT-DE-02,WH-04,645,12,6,86,2026-07-16
MAT-00127,PLT-IN-03,WH-07,482,12,14,62,2026-07-16
MAT-00127,PLT-US-01,WH-01,308,4,4,22,2026-07-21
MAT-00128,PLT-IN-03,WH-07,1093,57,12,99,2026-07-16
MAT-00128,PLT-US-01,WH-01,1430,11,20,59,2026-07-21
MAT-00129,PLT-US-01,WH-01,703,12,10,118,2026-07-16
MAT-00130,PLT-IN-03,WH-07,692,14,16,65,2026-07-16
MAT-00131,PLT-DE-02,WH-04,761,1,14,50,2026-07-16
MAT-00131,PLT-US-01,WH-01,497,29,14,67,2026-07-16
MAT-00132,PLT-DE-02,WH-04,3116,68,46,301,2026-07-21
MAT-00132,PLT-IN-03,WH-07,1670,14,35,142,2026-07-16
MAT-00132,PLT-US-01,WH-01,1564,66,26,16,2026-07-21
MAT-00133,PLT-DE-02,WH-04,154,0,4,12,2026-07-16
MAT-00134,PLT-US-01,WH-01,737,10,9,90,2026-07-16
MAT-00135,PLT-US-01,WH-01,396,11,0,35,2026-07-16
MAT-00136,PLT-US-01,WH-01,285,11,0,40,2026-07-16
MAT-00137,PLT-IN-03,WH-07,286,4,5,29,2026-07-16
MAT-00138,PLT-IN-03,WH-07,66,4,1,7,2026-07-16
MAT-00139,PLT-DE-02,WH-04,968,32,8,89,2026-07-21
MAT-00139,PLT-US-01,WH-01,1393,20,38,63,2026-07-16
MAT-00140,PLT-US-01,WH-01,283,14,2,31,2026-07-16
MAT-00141,PLT-DE-02,WH-04,1147,38,21,40,2026-07-16
MAT-00141,PLT-US-01,WH-01,633,25,1,67,2026-07-16
MAT-00142,PLT-US-01,WH-01,1126,4,23,70,2026-07-16
MAT-00143,PLT-US-01,WH-01,917,22,13,45,2026-07-16
MAT-00144,PLT-IN-03,WH-07,260,2,3,85,2026-07-16
MAT-00144,PLT-US-01,WH-01,1156,17,19,43,2026-07-21
MAT-00145,PLT-DE-02,WH-04,1702,43,4,68,2026-07-16
MAT-00145,PLT-IN-03,WH-07,160,0,1,134,2026-07-16
MAT-00145,PLT-US-01,WH-01,2680,96,28,206,2026-07-21
MAT-00146,PLT-DE-02,WH-04,513,22,2,31,2026-07-16
MAT-00146,PLT-IN-03,WH-07,824,31,15,32,2026-07-21
MAT-00147,PLT-US-01,WH-01,310,11,1,25,2026-07-16
MAT-00148,PLT-US-01,WH-01,43,1,0,25,2026-07-16
MAT-00149,PLT-DE-02,WH-04,1306,21,7,12,2026-07-21
MAT-00149,PLT-IN-03,WH-07,637,31,4,52,2026-07-16
MAT-00150,PLT-DE-02,WH-04,512,21,8,30,2026-07-21
MAT-00150,PLT-US-01,WH-01,381,0,6,33,2026-07-16
MAT-00151,PLT-US-01,WH-01,883,44,10,60,2026-07-16
MAT-00152,PLT-DE-02,WH-04,1972,94,34,20,2026-07-21
MAT-00152,PLT-US-01,WH-01,683,33,10,126,2026-07-16
MAT-00153,PLT-DE-02,WH-04,504,4,9,17,2026-07-21
MAT-00153,PLT-IN-03,WH-07,691,4,18,40,2026-07-16
MAT-00154,PLT-DE-02,WH-04,171,1,0,15,2026-07-21
MAT-00154,PLT-US-01,WH-01,85,4,2,10,2026-07-16
MAT-00155,PLT-IN-03,WH-07,708,26,4,80,2026-07-16
MAT-00156,PLT-DE-02,WH-04,207,1,6,58,2026-07-16
MAT-00156,PLT-US-01,WH-01,2299,67,25,172,2026-07-21
MAT-00157,PLT-DE-02,WH-04,2771,138,37,75,2026-07-21
MAT-00157,PLT-IN-03,WH-07,1167,18,4,121,2026-07-16
MAT-00158,PLT-DE-02,WH-04,2400,55,38,160,2026-07-21
MAT-00158,PLT-IN-03,WH-07,1031,44,7,82,2026-07-16
MAT-00158,PLT-US-01,WH-01,732,16,3,70,2026-07-21
MAT-00159,PLT-DE-02,WH-04,1901,72,54,178,2026-07-16
MAT-00160,PLT-DE-02,WH-04,2621,113,30,150,2026-07-21
MAT-00160,PLT-IN-03,WH-07,709,12,11,44,2026-07-21
MAT-00160,PLT-US-01,WH-01,1939,106,49,43,2026-07-16
MAT-00161,PLT-IN-03,WH-07,439,8,4,25,2026-07-16
MAT-00162,PLT-DE-02,WH-04,2347,40,34,118,2026-07-21
MAT-00162,PLT-IN-03,WH-07,760,19,9,72,2026-07-16
MAT-00162,PLT-US-01,WH-01,1232,53,26,186,2026-07-16
MAT-00163,PLT-IN-03,WH-07,371,15,6,25,2026-07-21
MAT-00163,PLT-US-01,WH-01,316,1,8,9,2026-07-16
MAT-00164,PLT-IN-03,WH-07,1221,39,19,130,2026-07-16
MAT-00165,PLT-DE-02,WH-04,493,29,8,54,2026-07-16
MAT-00165,PLT-US-01,WH-01,496,2,0,5,2026-07-21
MAT-00166,PLT-DE-02,WH-04,870,34,1,65,2026-07-21
MAT-00166,PLT-IN-03,WH-07,932,17,18,88,2026-07-16
MAT-00167,PLT-IN-03,WH-07,250,8,1,19,2026-07-21
MAT-00167,PLT-US-01,WH-01,108,4,2,6,2026-07-16
MAT-00168,PLT-DE-02,WH-04,1396,50,0,91,2026-07-21
MAT-00168,PLT-IN-03,WH-07,1582,30,3,65,2026-07-16
MAT-00169,PLT-DE-02,WH-04,427,19,7,22,2026-07-21
MAT-00169,PLT-IN-03,WH-07,5,0,0,5,2026-07-16
MAT-00170,PLT-IN-03,WH-07,1091,12,19,61,2026-07-16
MAT-00170,PLT-US-01,WH-01,1584,25,26,74,2026-07-21
MAT-00171,PLT-DE-02,WH-04,725,21,14,36,2026-07-21
MAT-00171,PLT-IN-03,WH-07,810,22,7,26,2026-07-21
MAT-00171,PLT-US-01,WH-01,520,26,1,49,2026-07-16
MAT-00172,PLT-DE-02,WH-04,904,44,18,95,2026-07-16
MAT-00172,PLT-IN-03,WH-07,640,15,11,5,2026-07-21
MAT-00172,PLT-US-01,WH-01,720,29,11,48,2026-07-21
MAT-00173,PLT-US-01,WH-01,846,30,12,49,2026-07-16
MAT-00174,PLT-IN-03,WH-07,999,5,30,107,2026-07-16
MAT-00175,PLT-DE-02,WH-04,994,26,24,128,2026-07-16
MAT-00175,PLT-IN-03,WH-07,1012,32,21,105,2026-07-16
MAT-00176,PLT-DE-02,WH-04,979,47,16,28,2026-07-21
MAT-00176,PLT-US-01,WH-01,1339,58,16,42,2026-07-16
MAT-00177,PLT-IN-03,WH-07,1841,79,24,59,2026-07-16
MAT-00177,PLT-US-01,WH-01,1424,69,26,121,2026-07-21
MAT-00178,PLT-DE-02,WH-04,876,44,5,86,2026-07-21
MAT-00178,PLT-IN-03,WH-07,414,14,4,56,2026-07-16
MAT-00178,PLT-US-01,WH-01,572,13,1,51,2026-07-16
MAT-00179,PLT-IN-03,WH-07,76,1,1,7,2026-07-16
MAT-00180,PLT-DE-02,WH-04,106,0,1,8,2026-07-16
MAT-00180,PLT-US-01,WH-01,168,7,1,16,2026-07-21
MAT-00181,PLT-DE-02,WH-04,1192,28,6,30,2026-07-21
MAT-00181,PLT-IN-03,WH-07,1961,51,4,81,2026-07-16
MAT-00182,PLT-US-01,WH-01,473,22,3,43,2026-07-16
MAT-00183,PLT-DE-02,WH-04,1484,65,13,78,2026-07-21
MAT-00183,PLT-IN-03,WH-07,1015,33,17,88,2026-07-16
MAT-00184,PLT-DE-02,WH-04,1699,63,32,35,2026-07-21
MAT-00184,PLT-IN-03,WH-07,697,21,4,87,2026-07-16
MAT-00184,PLT-US-01,WH-01,1373,31,12,118,2026-07-21
MAT-00185,PLT-IN-03,WH-07,401,14,12,16,2026-07-16
MAT-00186,PLT-DE-02,WH-04,696,2,4,80,2026-07-16
MAT-00186,PLT-IN-03,WH-07,1519,67,16,178,2026-07-16
MAT-00187,PLT-DE-02,WH-04,13,0,0,3,2026-07-16
MAT-00188,PLT-IN-03,WH-07,503,19,6,17,2026-07-16
MAT-00188,PLT-US-01,WH-01,250,0,6,19,2026-07-16
MAT-00189,PLT-IN-03,WH-07,953,22,5,36,2026-07-21
MAT-00189,PLT-US-01,WH-01,202,1,4,14,2026-07-16
MAT-00190,PLT-US-01,WH-01,974,55,12,49,2026-07-16
MAT-00191,PLT-IN-03,WH-07,318,17,1,29,2026-07-16
MAT-00191,PLT-US-01,WH-01,958,8,16,67,2026-07-21
MAT-00192,PLT-DE-02,WH-04,308,16,9,53,2026-07-16
MAT-00192,PLT-US-01,WH-01,328,6,6,13,2026-07-16
MAT-00193,PLT-DE-02,WH-04,841,40,1,61,2026-07-21
MAT-00193,PLT-IN-03,WH-07,930,46,10,119,2026-07-16
MAT-00193,PLT-US-01,WH-01,924,10,15,31,2026-07-21
MAT-00194,PLT-DE-02,WH-04,491,6,2,3,2026-07-21
MAT-00194,PLT-IN-03,WH-07,498,18,11,42,2026-07-16
MAT-00194,PLT-US-01,WH-01,105,4,0,39,2026-07-16
MAT-00195,PLT-IN-03,WH-07,936,23,4,13,2026-07-21
MAT-00195,PLT-US-01,WH-01,472,3,8,30,2026-07-16
MAT-00196,PLT-DE-02,WH-04,987,28,2,90,2026-07-16
MAT-00196,PLT-US-01,WH-01,1831,41,25,63,2026-07-21
MAT-00197,PLT-DE-02,WH-04,1694,4,17,149,2026-07-21
MAT-00197,PLT-IN-03,WH-07,1502,6,31,155,2026-07-16
MAT-00197,PLT-US-01,WH-01,2183,34,1,206,2026-07-21
MAT-00198,PLT-DE-02,WH-04,295,6,3,14,2026-07-21
MAT-00198,PLT-US-01,WH-01,161,7,2,10,2026-07-16
MAT-00199,PLT-DE-02,WH-04,2545,98,12,74,2026-07-16
MAT-00200,PLT-US-01,WH-01,191,10,0,51,2026-07-16
MAT-00201,PLT-IN-03,WH-07,554,10,9,62,2026-07-16
MAT-00201,PLT-US-01,WH-01,538,2,9,28,2026-07-16
MAT-00202,PLT-US-01,WH-01,671,21,15,60,2026-07-16
MAT-00203,PLT-DE-02,WH-04,714,5,4,64,2026-07-21
MAT-00203,PLT-US-01,WH-01,782,18,6,90,2026-07-16
MAT-00204,PLT-IN-03,WH-07,221,9,5,39,2026-07-16
MAT-00205,PLT-US-01,WH-01,472,22,10,59,2026-07-16
MAT-00206,PLT-IN-03,WH-07,712,1,20,33,2026-07-16
MAT-00207,PLT-DE-02,WH-04,96,1,1,53,2026-07-16
MAT-00208,PLT-DE-02,WH-04,1044,4,0,47,2026-07-21
MAT-00208,PLT-IN-03,WH-07,1330,54,25,145,2026-07-16
MAT-00209,PLT-US-01,WH-01,244,3,7,139,2026-07-16
MAT-00210,PLT-DE-02,WH-04,198,2,0,16,2026-07-21
MAT-00210,PLT-US-01,WH-01,107,1,2,11,2026-07-16
MAT-00211,PLT-DE-02,WH-04,462,22,4,52,2026-07-16
MAT-00211,PLT-IN-03,WH-07,1196,32,23,45,2026-07-21
MAT-00211,PLT-US-01,WH-01,1326,22,2,13,2026-07-21
MAT-00212,PLT-DE-02,WH-04,254,3,5,17,2026-07-16
MAT-00212,PLT-IN-03,WH-07,320,8,3,31,2026-07-16
MAT-00213,PLT-DE-02,WH-04,341,2,7,18,2026-07-16
MAT-00213,PLT-US-01,WH-01,299,8,6,25,2026-07-16
MAT-00214,PLT-DE-02,WH-04,25,1,0,4,2026-07-16
MAT-00214,PLT-US-01,WH-01,189,4,3,11,2026-07-16
MAT-00215,PLT-IN-03,WH-07,640,14,16,37,2026-07-16
MAT-00216,PLT-DE-02,WH-04,416,7,12,28,2026-07-16
MAT-00217,PLT-DE-02,WH-04,718,29,4,27,2026-07-21
MAT-00217,PLT-IN-03,WH-07,915,1,26,74,2026-07-16
MAT-00218,PLT-IN-03,WH-07,600,27,15,56,2026-07-16
MAT-00218,PLT-US-01,WH-01,932,51,12,103,2026-07-16
MAT-00219,PLT-DE-02,WH-04,1656,77,2,155,2026-07-21
MAT-00219,PLT-IN-03,WH-07,920,6,7,58,2026-07-16
MAT-00220,PLT-IN-03,WH-07,933,3,14,43,2026-07-21
MAT-00220,PLT-US-01,WH-01,263,12,3,53,2026-07-16
MAT-00221,PLT-IN-03,WH-07,409,21,9,46,2026-07-16
MAT-00222,PLT-DE-02,WH-04,84,1,1,7,2026-07-16
MAT-00223,PLT-IN-03,WH-07,154,1,4,10,2026-07-16
MAT-00224,PLT-IN-03,WH-07,526,13,11,70,2026-07-16
MAT-00224,PLT-US-01,WH-01,335,14,2,22,2026-07-21
MAT-00225,PLT-DE-02,WH-04,552,25,3,52,2026-07-16
