transaction_id,material_id,plant_id,warehouse_id,transaction_type,quantity,transaction_date,reference_doc
TXN-000979,MAT-00187,PLT-DE-02,WH-04,Goods Receipt,174,2026-04-21,PO-00027
TXN-001037,MAT-00080,PLT-US-01,WH-01,Goods Issue,-26,2026-04-21,PO-PROD-00077
TXN-000514,MAT-00218,PLT-IN-03,WH-07,Goods Receipt,241,2026-04-21,PO-00077
TXN-000859,MAT-00031,PLT-DE-02,WH-04,Adjustment,90,2026-04-21,PO-PROD-00001
TXN-001517,MAT-00012,PLT-IN-03,WH-07,Goods Receipt,207,2026-04-21,PO-00058
TXN-001519,MAT-00301,PLT-US-01,WH-01,Goods Receipt,134,2026-04-21,PO-00034
TXN-001557,MAT-00280,PLT-DE-02,WH-04,Goods Issue,-63,2026-04-21,PO-PROD-00163
TXN-002825,MAT-00399,PLT-US-01,WH-01,Goods Issue,-79,2026-04-21,PO-PROD-00189
TXN-001352,MAT-00358,PLT-DE-02,WH-04,Goods Receipt,163,2026-04-21,PO-00108
TXN-001433,MAT-00308,PLT-IN-03,WH-07,Goods Receipt,41,2026-04-21,PO-00152
TXN-001568,MAT-00033,PLT-US-01,WH-01,Goods Receipt,12,2026-04-21,PO-00059
TXN-002339,MAT-00142,PLT-US-01,WH-01,Goods Receipt,37,2026-04-21,PO-00078
TXN-002184,MAT-00271,PLT-US-01,WH-01,Goods Issue,-190,2026-04-21,PO-PROD-00131
TXN-001574,MAT-00105,PLT-DE-02,WH-04,Goods Issue,-251,2026-04-21,PO-PROD-00036
TXN-000015,MAT-00377,PLT-DE-02,WH-04,Goods Issue,-34,2026-04-21,PO-PROD-00146
TXN-002171,MAT-00346,PLT-IN-03,WH-07,Goods Issue,-141,2026-04-21,PO-PROD-00177
TXN-001425,MAT-00054,PLT-DE-02,WH-04,Goods Receipt,267,2026-04-21,PO-00148
TXN-000660,MAT-00483,PLT-IN-03,WH-07,Adjustment,267,2026-04-21,PO-PROD-00031
TXN-002860,MAT-00222,PLT-DE-02,WH-04,Transfer,102,2026-04-22,PO-PROD-00003
TXN-001443,MAT-00198,PLT-US-01,WH-01,Goods Issue,-272,2026-04-22,PO-PROD-00065
TXN-003097,MAT-00068,PLT-IN-03,WH-07,Goods Issue,-221,2026-04-22,PO-PROD-00195
TXN-000858,MAT-00458,PLT-US-01,WH-01,Transfer,239,2026-04-22,PO-PROD-00025
TXN-001454,MAT-00406,PLT-IN-03,WH-07,Goods Receipt,154,2026-04-22,PO-00037
TXN-000332,MAT-00024,PLT-US-01,WH-01,Goods Receipt,119,2026-04-22,PO-00150
TXN-001470,MAT-00127,PLT-IN-03,WH-07,Goods Receipt,24,2026-04-22,PO-00149
TXN-001442,MAT-00085,PLT-IN-03,WH-07,Goods Issue,-97,2026-04-22,PO-PROD-00114
TXN-000259,MAT-00333,PLT-DE-02,WH-04,Goods Issue,-176,2026-04-22,PO-PROD-00021
TXN-002758,MAT-00462,PLT-IN-03,WH-07,Goods Issue,-65,2026-04-22,PO-PROD-00134
TXN-000805,MAT-00092,PLT-IN-03,WH-07,Transfer,251,2026-04-22,PO-PROD-00190
TXN-003078,MAT-00380,PLT-IN-03,WH-07,Adjustment,295,2026-04-22,PO-PROD-00063
TXN-000803,MAT-00046,PLT-DE-02,WH-04,Goods Receipt,130,2026-04-22,PO-00050
TXN-001532,MAT-00211,PLT-DE-02,WH-04,Transfer,102,2026-04-22,PO-PROD-00155
TXN-001281,MAT-00112,PLT-US-01,WH-01,Goods Receipt,182,2026-04-22,PO-00017
TXN-001256,MAT-00400,PLT-DE-02,WH-04,Transfer,258,2026-04-22,PO-PROD-00053
TXN-001110,MAT-00160,PLT-US-01,WH-01,Adjustment,263,2026-04-22,PO-PROD-00130
TXN-001250,MAT-00131,PLT-US-01,WH-01,Goods Receipt,267,2026-04-22,PO-00076
TXN-000487,MAT-00457,PLT-IN-03,WH-07,Goods Issue,-61,2026-04-22,PO-PROD-00050
TXN-000264,MAT-00198,PLT-US-01,WH-01,Goods Receipt,264,2026-04-22,PO-00113
TXN-001606,MAT-00419,PLT-DE-02,WH-04,Adjustment,258,2026-04-22,PO-PROD-00166
TXN-001005,MAT-00158,PLT-IN-03,WH-07,Transfer,114,2026-04-22,PO-PROD-00156
TXN-000731,MAT-00281,PLT-IN-03,WH-07,Goods Issue,-180,2026-04-22,PO-PROD-00164
TXN-000266,MAT-00259,PLT-DE-02,WH-04,Goods Receipt,235,2026-04-22,PO-00018
TXN-002107,MAT-00477,PLT-US-01,WH-01,Goods Issue,-237,2026-04-22,PO-PROD-00218
TXN-003194,MAT-00338,PLT-US-01,WH-01,Adjustment,249,2026-04-22,PO-PROD-00144
TXN-002341,MAT-00226,PLT-US-01,WH-01,Adjustment,209,2026-04-22,PO-PROD-00205
TXN-002323,MAT-00065,PLT-US-01,WH-01,Goods Receipt,282,2026-04-22,PO-00136
TXN-002312,MAT-00165,PLT-DE-02,WH-04,Goods Receipt,14,2026-04-22,PO-00107
TXN-002423,MAT-00496,PLT-US-01,WH-01,Goods Issue,-282,2026-04-22,PO-PROD-00152
TXN-003162,MAT-00277,PLT-DE-02,WH-04,Goods Issue,-62,2026-04-22,PO-PROD-00027
TXN-001975,MAT-00376,PLT-IN-03,WH-07,Goods Issue,-73,2026-04-22,PO-PROD-00012
TXN-002532,MAT-00496,PLT-US-01,WH-01,Goods Receipt,66,2026-04-22,PO-00135
TXN-002721,MAT-00345,PLT-DE-02,WH-04,Goods Issue,-167,2026-04-22,PO-PROD-00058
TXN-000840,MAT-00284,PLT-IN-03,WH-07,Goods Issue,-82,2026-04-23,PO-PROD-00023
TXN-002472,MAT-00295,PLT-IN-03,WH-07,Adjustment,246,2026-04-23,PO-PROD-00130
TXN-001736,MAT-00371,PLT-US-01,WH-01,Goods Issue,-234,2026-04-23,PO-PROD-00099
TXN-002516,MAT-00075,PLT-IN-03,WH-07,Adjustment,163,2026-04-23,PO-PROD-00141
TXN-002354,MAT-00187,PLT-DE-02,WH-04,Goods Issue,-161,2026-04-23,PO-PROD-00067
TXN-003160,MAT-00213,PLT-US-01,WH-01,Goods Issue,-160,2026-04-23,PO-PROD-00051
TXN-000233,MAT-00355,PLT-IN-03,WH-07,Adjustment,45,2026-04-23,PO-PROD-00115
TXN-000468,MAT-00280,PLT-DE-02,WH-04,Goods Issue,-32,2026-04-23,PO-PROD-00037
TXN-002479,MAT-00078,PLT-US-01,WH-01,Goods Receipt,26,2026-04-23,PO-00085
TXN-002466,MAT-00453,PLT-DE-02,WH-04,Goods Issue,-98,2026-04-23,PO-PROD-00171
TXN-001119,MAT-00408,PLT-DE-02,WH-04,Goods Issue,-189,2026-04-23,PO-PROD-00204
TXN-001735,MAT-00043,PLT-DE-02,WH-04,Goods Receipt,126,2026-04-23,PO-00138
TXN-002330,MAT-00200,PLT-US-01,WH-01,Goods Receipt,227,2026-04-23,PO-00022
TXN-002890,MAT-00333,PLT-DE-02,WH-04,Goods Issue,-109,2026-04-23,PO-PROD-00132
TXN-000268,MAT-00130,PLT-IN-03,WH-07,Adjustment,81,2026-04-23,PO-PROD-00174
TXN-000673,MAT-00165,PLT-DE-02,WH-04,Goods Issue,-102,2026-04-23,PO-PROD-00057
TXN-000762,MAT-00291,PLT-US-01,WH-01,Adjustment,155,2026-04-23,PO-PROD-00169
TXN-002682,MAT-00131,PLT-DE-02,WH-04,Goods Issue,-28,2026-04-23,PO-PROD-00128
TXN-000494,MAT-00161,PLT-IN-03,WH-07,Transfer,31,2026-04-23,PO-PROD-00011
TXN-001543,MAT-00232,PLT-DE-02,WH-04,Goods Issue,-183,2026-04-23,PO-PROD-00114
TXN-000109,MAT-00350,PLT-IN-03,WH-07,Adjustment,113,2026-04-23,PO-PROD-00216
TXN-001515,MAT-00404,PLT-DE-02,WH-04,Goods Receipt,126,2026-04-23,PO-00077
TXN-002859,MAT-00437,PLT-US-01,WH-01,Goods Receipt,244,2026-04-23,PO-00081
TXN-001494,MAT-00231,PLT-US-01,WH-01,Goods Issue,-178,2026-04-23,PO-PROD-00134
TXN-000293,MAT-00004,PLT-US-01,WH-01,Goods Issue,-46,2026-04-23,PO-PROD-00057
TXN-000106,MAT-00349,PLT-US-01,WH-01,Goods Receipt,24,2026-04-23,PO-00145
TXN-000297,MAT-00390,PLT-US-01,WH-01,Goods Receipt,130,2026-04-23,PO-00122
TXN-001309,MAT-00042,PLT-IN-03,WH-07,Transfer,183,2026-04-23,PO-PROD-00028
TXN-002990,MAT-00355,PLT-IN-03,WH-07,Goods Issue,-148,2026-04-23,PO-PROD-00204
TXN-002249,MAT-00392,PLT-DE-02,WH-04,Goods Receipt,227,2026-04-23,PO-00125
TXN-002987,MAT-00478,PLT-DE-02,WH-04,Transfer,191,2026-04-23,PO-PROD-00043
TXN-000422,MAT-00398,PLT-DE-02,WH-04,Transfer,285,2026-04-23,PO-PROD-00111
TXN-001031,MAT-00348,PLT-IN-03,WH-07,Adjustment,207,2026-04-23,PO-PROD-00037
TXN-002022,MAT-00128,PLT-IN-03,WH-07,Goods Receipt,154,2026-04-23,PO-00105
TXN-003098,MAT-00155,PLT-IN-03,WH-07,Goods Issue,-273,2026-04-23,PO-PROD-00093
TXN-000894,MAT-00233,PLT-US-01,WH-01,Transfer,55,2026-04-23,PO-PROD-00206
TXN-000045,MAT-00158,PLT-IN-03,WH-07,Goods Issue,-143,2026-04-23,PO-PROD-00148
TXN-002942,MAT-00142,PLT-US-01,WH-01,Goods Receipt,218,2026-04-23,PO-00044
TXN-002732,MAT-00013,PLT-DE-02,WH-04,Goods Issue,-167,2026-04-23,PO-PROD-00022
TXN-002025,MAT-00153,PLT-IN-03,WH-07,Goods Issue,-177,2026-04-23,PO-PROD-00056
TXN-000948,MAT-00486,PLT-IN-03,WH-07,Goods Issue,-247,2026-04-23,PO-PROD-00094
TXN-000904,MAT-00497,PLT-IN-03,WH-07,Goods Issue,-98,2026-04-23,PO-PROD-00058
TXN-002415,MAT-00175,PLT-DE-02,WH-04,Goods Issue,-233,2026-04-23,PO-PROD-00192
TXN-001826,MAT-00112,PLT-US-01,WH-01,Transfer,148,2026-04-23,PO-PROD-00141
TXN-001591,MAT-00280,PLT-DE-02,WH-04,Goods Issue,-181,2026-04-24,PO-PROD-00172
TXN-001974,MAT-00314,PLT-US-01,WH-01,Goods Issue,-197,2026-04-24,PO-PROD-00095
TXN-002442,MAT-00127,PLT-IN-03,WH-07,Goods Receipt,117,2026-04-24,PO-00070
TXN-001336,MAT-00440,PLT-DE-02,WH-04,Goods Receipt,62,2026-04-24,PO-00137
TXN-002898,MAT-00319,PLT-IN-03,WH-07,Goods Receipt,205,2026-04-24,PO-00026
TXN-001347,MAT-00476,PLT-DE-02,WH-04,Goods Issue,-135,2026-04-24,PO-PROD-00028
TXN-001675,MAT-00078,PLT-IN-03,WH-07,Goods Issue,-84,2026-04-24,PO-PROD-00028
TXN-000257,MAT-00449,PLT-US-01,WH-01,Adjustment,11,2026-04-24,PO-PROD-00128
TXN-002039,MAT-00322,PLT-DE-02,WH-04,Goods Issue,-85,2026-04-24,PO-PROD-00185
TXN-001921,MAT-00123,PLT-US-01,WH-01,Goods Issue,-100,2026-04-24,PO-PROD-00001
TXN-002322,MAT-00029,PLT-IN-03,WH-07,Goods Receipt,259,2026-04-24,PO-00077
TXN-002692,MAT-00146,PLT-DE-02,WH-04,Adjustment,35,2026-04-24,PO-PROD-00194
TXN-000761,MAT-00241,PLT-DE-02,WH-04,Goods Issue,-30,2026-04-24,PO-PROD-00123
TXN-003028,MAT-00151,PLT-US-01,WH-01,Goods Issue,-292,2026-04-24,PO-PROD-00133
TXN-003017,MAT-00311,PLT-US-01,WH-01,Goods Receipt,180,2026-04-24,PO-00026
TXN-000954,MAT-00210,PLT-US-01,WH-01,Transfer,32,2026-04-24,PO-PROD-00175
TXN-002230,MAT-00415,PLT-IN-03,WH-07,Goods Receipt,263,2026-04-24,PO-00008
TXN-003170,MAT-00204,PLT-IN-03,WH-07,Goods Issue,-195,2026-04-24,PO-PROD-00185
TXN-000170,MAT-00408,PLT-DE-02,WH-04,Goods Receipt,142,2026-04-24,PO-00035
TXN-002842,MAT-00483,PLT-IN-03,WH-07,Goods Receipt,272,2026-04-24,PO-00040
TXN-000184,MAT-00110,PLT-IN-03,WH-07,Goods Receipt,270,2026-04-24,PO-00148
TXN-001238,MAT-00439,PLT-IN-03,WH-07,Goods Receipt,50,2026-04-24,PO-00135
TXN-000654,MAT-00497,PLT-IN-03,WH-07,Goods Receipt,84,2026-04-24,PO-00148
TXN-001121,MAT-00316,PLT-DE-02,WH-04,Goods Receipt,285,2026-04-24,PO-00102
TXN-002474,MAT-00383,PLT-US-01,WH-01,Goods Issue,-193,2026-04-24,PO-PROD-00027
TXN-002061,MAT-00421,PLT-DE-02,WH-04,Goods Issue,-27,2026-04-24,PO-PROD-00027
TXN-000065,MAT-00471,PLT-IN-03,WH-07,Goods Receipt,254,2026-04-24,PO-00101
TXN-002693,MAT-00192,PLT-DE-02,WH-04,Goods Receipt,146,2026-04-24,PO-00100
TXN-001862,MAT-00275,PLT-DE-02,WH-04,Goods Issue,-61,2026-04-24,PO-PROD-00188
TXN-001231,MAT-00267,PLT-US-01,WH-01,Goods Receipt,262,2026-04-24,PO-00073
TXN-002764,MAT-00174,PLT-IN-03,WH-07,Goods Issue,-154,2026-04-24,PO-PROD-00179
TXN-002771,MAT-00376,PLT-IN-03,WH-07,Adjustment,238,2026-04-24,PO-PROD-00186
TXN-001773,MAT-00223,PLT-IN-03,WH-07,Goods Receipt,278,2026-04-24,PO-00116
TXN-001905,MAT-00108,PLT-DE-02,WH-04,Goods Issue,-69,2026-04-25,PO-PROD-00116
TXN-000228,MAT-00008,PLT-IN-03,WH-07,Goods Receipt,211,2026-04-25,PO-00030
TXN-002203,MAT-00424,PLT-IN-03,WH-07,Transfer,213,2026-04-25,PO-PROD-00095
TXN-000451,MAT-00012,PLT-IN-03,WH-07,Adjustment,77,2026-04-25,PO-PROD-00192
TXN-000330,MAT-00338,PLT-US-01,WH-01,Goods Receipt,278,2026-04-25,PO-00076
TXN-001087,MAT-00276,PLT-US-01,WH-01,Goods Issue,-194,2026-04-25,PO-PROD-00060
TXN-002308,MAT-00176,PLT-US-01,WH-01,Goods Receipt,109,2026-04-25,PO-00153
TXN-001848,MAT-00221,PLT-IN-03,WH-07,Goods Issue,-16,2026-04-25,PO-PROD-00199
TXN-003085,MAT-00269,PLT-US-01,WH-01,Goods Issue,-240,2026-04-25,PO-PROD-00190
TXN-002275,MAT-00056,PLT-DE-02,WH-04,Goods Receipt,107,2026-04-25,PO-00094
