material_id,plant_id,expected_status,usable_qty_reference
MAT-00036,PLT-US-01,Near Reorder,70
MAT-00037,PLT-IN-03,Safety Stock Warning,688
MAT-00037,PLT-US-01,Near Reorder,320
MAT-00038,PLT-US-01,Healthy,660
MAT-00039,PLT-DE-02,Safety Stock Warning,139
MAT-00039,PLT-US-01,Healthy,1130
MAT-00040,PLT-DE-02,Healthy,99
MAT-00040,PLT-IN-03,Healthy,45
MAT-00041,PLT-IN-03,Healthy,67
MAT-00042,PLT-DE-02,Safety Stock Warning,670
MAT-00042,PLT-IN-03,Healthy,617
MAT-00043,PLT-DE-02,Healthy,1302
MAT-00043,PLT-US-01,Healthy,2354
MAT-00044,PLT-DE-02,Healthy,311
MAT-00045,PLT-DE-02,Healthy,422
MAT-00046,PLT-DE-02,Healthy,189
MAT-00046,PLT-IN-03,Safety Stock Warning,271
MAT-00047,PLT-IN-03,Healthy,536
MAT-00048,PLT-DE-02,Excess,2729
MAT-00048,PLT-IN-03,Healthy,792
MAT-00049,PLT-US-01,Healthy,388
MAT-00050,PLT-DE-02,Excess,1263
MAT-00050,PLT-US-01,Healthy,420
MAT-00051,PLT-US-01,Near Reorder,655
MAT-00052,PLT-DE-02,Healthy,386
MAT-00053,PLT-DE-02,Healthy,579
MAT-00053,PLT-US-01,Healthy,537
MAT-00054,PLT-DE-02,Healthy,144
MAT-00054,PLT-IN-03,Healthy,214
MAT-00054,PLT-US-01,Safety Stock Warning,153
MAT-00055,PLT-DE-02,Near Reorder,421
MAT-00056,PLT-DE-02,Healthy,946
MAT-00057,PLT-DE-02,Healthy,604
MAT-00058,PLT-DE-02,Healthy,294
MAT-00058,PLT-IN-03,Near Reorder,370
MAT-00059,PLT-IN-03,Healthy,504
MAT-00060,PLT-US-01,Healthy,550
MAT-00061,PLT-DE-02,Healthy,176
MAT-00061,PLT-US-01,Healthy,135
MAT-00062,PLT-DE-02,Healthy,133
MAT-00063,PLT-US-01,Shortage,0
MAT-00064,PLT-DE-02,Near Reorder,961
MAT-00064,PLT-IN-03,Near Reorder,1269
MAT-00064,PLT-US-01,Near Reorder,345
MAT-00065,PLT-US-01,Healthy,973
MAT-00066,PLT-DE-02,Excess,3743
MAT-00066,PLT-IN-03,Excess,2353
MAT-00067,PLT-IN-03,Excess,1227
MAT-00067,PLT-US-01,Excess,1040
MAT-00068,PLT-DE-02,Excess,1915
MAT-00068,PLT-IN-03,Healthy,395
MAT-00069,PLT-DE-02,Safety Stock Warning,916
MAT-00069,PLT-US-01,Healthy,1480
MAT-00070,PLT-US-01,Healthy,1200
MAT-00071,PLT-DE-02,Healthy,1177
MAT-00071,PLT-IN-03,Healthy,1582
MAT-00071,PLT-US-01,Healthy,899
MAT-00072,PLT-DE-02,Near Reorder,1108
MAT-00072,PLT-IN-03,Healthy,1079
MAT-00072,PLT-US-01,Near Reorder,444
MAT-00073,PLT-IN-03,Healthy,1063
MAT-00073,PLT-US-01,Shortage,0
MAT-00074,PLT-DE-02,Healthy,487
MAT-00074,PLT-IN-03,Healthy,707
MAT-00075,PLT-IN-03,Healthy,204
MAT-00075,PLT-US-01,Safety Stock Warning,188
MAT-00076,PLT-DE-02,Healthy,496
MAT-00076,PLT-IN-03,Near Reorder,484
MAT-00076,PLT-US-01,Excess,1033
MAT-00077,PLT-DE-02,Healthy,396
MAT-00077,PLT-US-01,Near Reorder,518
MAT-00078,PLT-IN-03,Healthy,757
MAT-00078,PLT-US-01,Healthy,1494
MAT-00079,PLT-US-01,Healthy,128
MAT-00080,PLT-IN-03,Excess,2032
MAT-00080,PLT-US-01,Excess,1755
MAT-00081,PLT-DE-02,Safety Stock Warning,311
MAT-00081,PLT-US-01,Healthy,985
MAT-00082,PLT-DE-02,Healthy,482
MAT-00082,PLT-US-01,Safety Stock Warning,917
MAT-00083,PLT-US-01,Healthy,228
MAT-00084,PLT-IN-03,Healthy,365
MAT-00085,PLT-DE-02,Healthy,2065
MAT-00085,PLT-IN-03,Healthy,1111
MAT-00086,PLT-DE-02,Healthy,635
MAT-00086,PLT-US-01,Safety Stock Warning,498
MAT-00087,PLT-DE-02,Healthy,387
MAT-00087,PLT-IN-03,Healthy,145
MAT-00088,PLT-DE-02,Healthy,443
MAT-00088,PLT-US-01,Excess,1020
MAT-00089,PLT-DE-02,Near Reorder,114
MAT-00089,PLT-IN-03,Healthy,56
MAT-00090,PLT-DE-02,Healthy,787
MAT-00091,PLT-US-01,Healthy,256
MAT-00092,PLT-DE-02,Healthy,1118
MAT-00092,PLT-IN-03,Healthy,619
MAT-00093,PLT-IN-03,Excess,2097
MAT-00094,PLT-IN-03,Healthy,139
MAT-00094,PLT-US-01,Safety Stock Warning,112
MAT-00095,PLT-US-01,Healthy,455
MAT-00096,PLT-DE-02,Excess,2908
MAT-00096,PLT-US-01,Healthy,1287
MAT-00097,PLT-DE-02,Healthy,778
MAT-00098,PLT-IN-03,Healthy,916
MAT-00099,PLT-DE-02,Healthy,409
MAT-00100,PLT-US-01,Near Reorder,109
MAT-00101,PLT-DE-02,Excess,650
MAT-00101,PLT-IN-03,Healthy,313
MAT-00102,PLT-DE-02,Healthy,568
MAT-00102,PLT-US-01,Excess,1731
MAT-00103,PLT-DE-02,Healthy,101
MAT-00104,PLT-IN-03,Healthy,209
MAT-00105,PLT-DE-02,Healthy,1136
MAT-00105,PLT-US-01,Healthy,2666
MAT-00106,PLT-DE-02,Healthy,1041
MAT-00106,PLT-US-01,Excess,2114
MAT-00107,PLT-US-01,Near Reorder,243
MAT-00108,PLT-DE-02,Healthy,779
MAT-00108,PLT-IN-03,Near Reorder,822
MAT-00108,PLT-US-01,Healthy,440
MAT-00109,PLT-IN-03,Healthy,1335
MAT-00110,PLT-DE-02,Near Reorder,431
MAT-00110,PLT-IN-03,Healthy,157
MAT-00110,PLT-US-01,Excess,589
MAT-00111,PLT-DE-02,Healthy,352
MAT-00111,PLT-IN-03,Healthy,441
MAT-00111,PLT-US-01,Excess,1217
MAT-00112,PLT-DE-02,Near Reorder,635
MAT-00112,PLT-IN-03,Healthy,414
MAT-00112,PLT-US-01,Healthy,398
MAT-00113,PLT-IN-03,Healthy,289
MAT-00113,PLT-US-01,Excess,729
MAT-00114,PLT-US-01,Healthy,1014
MAT-00115,PLT-DE-02,Healthy,828
MAT-00116,PLT-DE-02,Near Reorder,1080
MAT-00116,PLT-US-01,Healthy,620
MAT-00117,PLT-DE-02,Healthy,352
MAT-00118,PLT-DE-02,Safety Stock Warning,564
MAT-00118,PLT-IN-03,Safety Stock Warning,760
MAT-00118,PLT-US-01,Healthy,1009
MAT-00119,PLT-IN-03,Safety Stock Warning,30
MAT-00119,PLT-US-01,Safety Stock Warning,73
MAT-00120,PLT-DE-02,Healthy,1810
MAT-00121,PLT-IN-03,Safety Stock Warning,847
MAT-00121,PLT-US-01,Healthy,487
MAT-00122,PLT-IN-03,Near Reorder,112
MAT-00122,PLT-US-01,Near Reorder,233
MAT-00123,PLT-DE-02,Near Reorder,1114
MAT-00123,PLT-US-01,Near Reorder,578
MAT-00124,PLT-DE-02,Shortage,38
MAT-00124,PLT-US-01,Healthy,339
MAT-00125,PLT-IN-03,Safety Stock Warning,160
MAT-00126,PLT-DE-02,Near Reorder,559
MAT-00127,PLT-IN-03,Healthy,420
MAT-00127,PLT-US-01,Safety Stock Warning,286
MAT-00128,PLT-IN-03,Healthy,994
MAT-00128,PLT-US-01,Near Reorder,1371
MAT-00129,PLT-US-01,Near Reorder,585
MAT-00130,PLT-IN-03,Healthy,627
MAT-00131,PLT-DE-02,Healthy,711
MAT-00131,PLT-US-01,Healthy,430
MAT-00132,PLT-DE-02,Healthy,2815
MAT-00132,PLT-IN-03,Healthy,1528
MAT-00132,PLT-US-01,Near Reorder,1548
MAT-00133,PLT-DE-02,Healthy,142
MAT-00134,PLT-US-01,Healthy,647
MAT-00135,PLT-US-01,Healthy,361
MAT-00136,PLT-US-01,Healthy,245
MAT-00137,PLT-IN-03,Near Reorder,257
MAT-00138,PLT-IN-03,Healthy,59
MAT-00139,PLT-DE-02,Safety Stock Warning,879
MAT-00139,PLT-US-01,Healthy,1330
MAT-00140,PLT-US-01,Healthy,252
MAT-00141,PLT-DE-02,Healthy,1107
MAT-00141,PLT-US-01,Healthy,566
MAT-00142,PLT-US-01,Healthy,1056
MAT-00143,PLT-US-01,Healthy,872
MAT-00144,PLT-IN-03,Safety Stock Warning,175
MAT-00144,PLT-US-01,Healthy,1113
MAT-00145,PLT-DE-02,Healthy,1634
MAT-00145,PLT-IN-03,Shortage,26
MAT-00145,PLT-US-01,Healthy,2474
MAT-00146,PLT-DE-02,Healthy,482
MAT-00146,PLT-IN-03,Healthy,792
MAT-00147,PLT-US-01,Healthy,285
MAT-00148,PLT-US-01,Shortage,18
MAT-00149,PLT-DE-02,Near Reorder,1294
MAT-00149,PLT-IN-03,Healthy,585
MAT-00150,PLT-DE-02,Near Reorder,482
MAT-00150,PLT-US-01,Healthy,348
MAT-00151,PLT-US-01,Healthy,823
MAT-00152,PLT-DE-02,Near Reorder,1952
MAT-00152,PLT-US-01,Near Reorder,557
MAT-00153,PLT-DE-02,Near Reorder,487
MAT-00153,PLT-IN-03,Healthy,651
MAT-00154,PLT-DE-02,Healthy,156
MAT-00154,PLT-US-01,Healthy,75
MAT-00155,PLT-IN-03,Healthy,628
MAT-00156,PLT-DE-02,Safety Stock Warning,149
MAT-00156,PLT-US-01,Excess,2127
MAT-00157,PLT-DE-02,Excess,2696
MAT-00157,PLT-IN-03,Healthy,1046
MAT-00158,PLT-DE-02,Healthy,2240
MAT-00158,PLT-IN-03,Healthy,949
MAT-00158,PLT-US-01,Safety Stock Warning,662
MAT-00159,PLT-DE-02,Healthy,1723
MAT-00160,PLT-DE-02,Excess,2471
MAT-00160,PLT-IN-03,Safety Stock Warning,665
MAT-00160,PLT-US-01,Excess,1896
MAT-00161,PLT-IN-03,Healthy,414
MAT-00162,PLT-DE-02,Excess,2229
MAT-00162,PLT-IN-03,Healthy,688
MAT-00162,PLT-US-01,Healthy,1046
MAT-00163,PLT-IN-03,Near Reorder,346
MAT-00163,PLT-US-01,Healthy,307
MAT-00164,PLT-IN-03,Healthy,1091
MAT-00165,PLT-DE-02,Healthy,439
MAT-00165,PLT-US-01,Near Reorder,491
MAT-00166,PLT-DE-02,Safety Stock Warning,805
MAT-00166,PLT-IN-03,Healthy,844
MAT-00167,PLT-IN-03,Excess,231
MAT-00167,PLT-US-01,Healthy,102
MAT-00168,PLT-DE-02,Safety Stock Warning,1305
MAT-00168,PLT-IN-03,Healthy,1517
MAT-00169,PLT-DE-02,Excess,405
MAT-00169,PLT-IN-03,Shortage,0
MAT-00170,PLT-IN-03,Healthy,1030
MAT-00170,PLT-US-01,Near Reorder,1510
MAT-00171,PLT-DE-02,Near Reorder,689
MAT-00171,PLT-IN-03,Near Reorder,784
MAT-00171,PLT-US-01,Healthy,471
MAT-00172,PLT-DE-02,Healthy,809
MAT-00172,PLT-IN-03,Safety Stock Warning,635
MAT-00172,PLT-US-01,Near Reorder,672
MAT-00173,PLT-US-01,Healthy,797
MAT-00174,PLT-IN-03,Healthy,892
MAT-00175,PLT-DE-02,Healthy,866
MAT-00175,PLT-IN-03,Healthy,907
MAT-00176,PLT-DE-02,Healthy,951
MAT-00176,PLT-US-01,Excess,1297
MAT-00177,PLT-IN-03,Excess,1782
MAT-00177,PLT-US-01,Healthy,1303
MAT-00178,PLT-DE-02,Near Reorder,790
MAT-00178,PLT-IN-03,Healthy,358
MAT-00178,PLT-US-01,Healthy,521
MAT-00179,PLT-IN-03,Healthy,69
MAT-00180,PLT-DE-02,Near Reorder,98
MAT-00180,PLT-US-01,Safety Stock Warning,152
MAT-00181,PLT-DE-02,Safety Stock Warning,1162
MAT-00181,PLT-IN-03,Healthy,1880
MAT-00182,PLT-US-01,Healthy,430
MAT-00183,PLT-DE-02,Healthy,1406
MAT-00183,PLT-IN-03,Healthy,927
MAT-00184,PLT-DE-02,Excess,1664
MAT-00184,PLT-IN-03,Healthy,610
MAT-00184,PLT-US-01,Near Reorder,1255
MAT-00185,PLT-IN-03,Healthy,385
MAT-00186,PLT-DE-02,Healthy,616
MAT-00186,PLT-IN-03,Healthy,1341
MAT-00187,PLT-DE-02,Safety Stock Warning,10
MAT-00188,PLT-IN-03,Healthy,486
MAT-00188,PLT-US-01,Healthy,231
MAT-00189,PLT-IN-03,Excess,917
MAT-00189,PLT-US-01,Healthy,188
MAT-00190,PLT-US-01,Healthy,925
MAT-00191,PLT-IN-03,Healthy,289
MAT-00191,PLT-US-01,Near Reorder,891
MAT-00192,PLT-DE-02,Near Reorder,255
MAT-00192,PLT-US-01,Healthy,315
MAT-00193,PLT-DE-02,Safety Stock Warning,780
MAT-00193,PLT-IN-03,Healthy,811
MAT-00193,PLT-US-01,Safety Stock Warning,893
MAT-00194,PLT-DE-02,Healthy,488
MAT-00194,PLT-IN-03,Healthy,456
MAT-00194,PLT-US-01,Safety Stock Warning,66
MAT-00195,PLT-IN-03,Healthy,923
MAT-00195,PLT-US-01,Healthy,442
MAT-00196,PLT-DE-02,Healthy,897
MAT-00196,PLT-US-01,Healthy,1768
MAT-00197,PLT-DE-02,Near Reorder,1545
MAT-00197,PLT-IN-03,Healthy,1347
MAT-00197,PLT-US-01,Near Reorder,1977
MAT-00198,PLT-DE-02,Healthy,281
MAT-00198,PLT-US-01,Healthy,151
MAT-00199,PLT-DE-02,Excess,2471
MAT-00200,PLT-US-01,Safety Stock Warning,140
MAT-00201,PLT-IN-03,Healthy,492
MAT-00201,PLT-US-01,Healthy,510
MAT-00202,PLT-US-01,Healthy,611
MAT-00203,PLT-DE-02,Safety Stock Warning,650
MAT-00203,PLT-US-01,Healthy,692
MAT-00204,PLT-IN-03,Safety Stock Warning,182
MAT-00205,PLT-US-01,Near Reorder,413
MAT-00206,PLT-IN-03,Healthy,679
MAT-00207,PLT-DE-02,Shortage,43
MAT-00208,PLT-DE-02,Safety Stock Warning,997
MAT-00208,PLT-IN-03,Healthy,1185
MAT-00209,PLT-US-01,Shortage,105
MAT-00210,PLT-DE-02,Excess,182
MAT-00210,PLT-US-01,Healthy,96
MAT-00211,PLT-DE-02,Healthy,410
MAT-00211,PLT-IN-03,Excess,1151
MAT-00211,PLT-US-01,Excess,1313
MAT-00212,PLT-DE-02,Healthy,237
MAT-00212,PLT-IN-03,Healthy,289
MAT-00213,PLT-DE-02,Healthy,323
MAT-00213,PLT-US-01,Healthy,274
MAT-00214,PLT-DE-02,Safety Stock Warning,21
MAT-00214,PLT-US-01,Healthy,178
MAT-00215,PLT-IN-03,Healthy,603
MAT-00216,PLT-DE-02,Healthy,388
MAT-00217,PLT-DE-02,Safety Stock Warning,691
MAT-00217,PLT-IN-03,Healthy,841
MAT-00218,PLT-IN-03,Healthy,544
MAT-00218,PLT-US-01,Healthy,829
MAT-00219,PLT-DE-02,Healthy,1501
MAT-00219,PLT-IN-03,Healthy,862
MAT-00220,PLT-IN-03,Healthy,890
MAT-00220,PLT-US-01,Near Reorder,210
MAT-00221,PLT-IN-03,Healthy,363
MAT-00222,PLT-DE-02,Near Reorder,77
MAT-00223,PLT-IN-03,Healthy,144
MAT-00224,PLT-IN-03,Healthy,456
MAT-00224,PLT-US-01,Safety Stock Warning,313
MAT-00225,PLT-DE-02,Healthy,500
MAT-00225,PLT-IN-03,Safety Stock Warning,103
MAT-00226,PLT-DE-02,Safety Stock Warning,682
MAT-00226,PLT-US-01,Healthy,463
MAT-00227,PLT-US-01,Healthy,1316
MAT-00228,PLT-US-01,Healthy,445
MAT-00229,PLT-IN-03,Healthy,1245
MAT-00229,PLT-US-01,Safety Stock Warning,1354
MAT-00230,PLT-DE-02,Healthy,1314
MAT-00231,PLT-US-01,Healthy,112
MAT-00232,PLT-DE-02,Healthy,818
MAT-00233,PLT-US-01,Safety Stock Warning,52
MAT-00234,PLT-IN-03,Healthy,1175
MAT-00234,PLT-US-01,Healthy,2666
MAT-00235,PLT-DE-02,Near Reorder,2007
MAT-00235,PLT-IN-03,Healthy,787
MAT-00235,PLT-US-01,Healthy,1220
MAT-00236,PLT-DE-02,Healthy,172
MAT-00236,PLT-IN-03,Healthy,156
MAT-00237,PLT-US-01,Healthy,696
MAT-00238,PLT-IN-03,Healthy,649
MAT-00238,PLT-US-01,Near Reorder,990
MAT-00239,PLT-DE-02,Near Reorder,1212
MAT-00239,PLT-IN-03,Healthy,797
MAT-00239,PLT-US-01,Safety Stock Warning,1085
MAT-00240,PLT-DE-02,Healthy,528
MAT-00240,PLT-US-01,Near Reorder,990
MAT-00241,PLT-DE-02,Healthy,1219
MAT-00242,PLT-DE-02,Safety Stock Warning,519
MAT-00242,PLT-US-01,Healthy,529
MAT-00243,PLT-IN-03,Healthy,321
MAT-00244,PLT-DE-02,Healthy,529
MAT-00245,PLT-IN-03,Healthy,970
MAT-00245,PLT-US-01,Excess,2118
MAT-00246,PLT-DE-02,Healthy,1605
MAT-00247,PLT-DE-02,Safety Stock Warning,230
MAT-00247,PLT-US-01,Healthy,317
MAT-00248,PLT-DE-02,Healthy,742
MAT-00249,PLT-DE-02,Healthy,878
MAT-00249,PLT-US-01,Near Reorder,836
MAT-00250,PLT-DE-02,Healthy,683
MAT-00250,PLT-US-01,Healthy,1085
MAT-00251,PLT-IN-03,Healthy,524
MAT-00251,PLT-US-01,Excess,651
MAT-00252,PLT-DE-02,Healthy,59
MAT-00252,PLT-US-01,Excess,164
MAT-00253,PLT-US-01,Healthy,863
MAT-00254,PLT-DE-02,Near Reorder,802
MAT-00254,PLT-IN-03,Healthy,446
MAT-00255,PLT-IN-03,Near Reorder,697
MAT-00255,PLT-US-01,Healthy,560
MAT-00256,PLT-DE-02,Near Reorder,676
MAT-00257,PLT-DE-02,Healthy,708
MAT-00258,PLT-US-01,Healthy,441
MAT-00259,PLT-DE-02,Healthy,155
MAT-00259,PLT-IN-03,Near Reorder,288
MAT-00260,PLT-DE-02,Healthy,1294
MAT-00261,PLT-DE-02,Healthy,1569
MAT-00261,PLT-IN-03,Healthy,1144
MAT-00262,PLT-IN-03,Healthy,326
MAT-00262,PLT-US-01,Near Reorder,277
MAT-00263,PLT-DE-02,Healthy,419
MAT-00263,PLT-IN-03,Healthy,757
MAT-00263,PLT-US-01,Near Reorder,792
MAT-00264,PLT-IN-03,Near Reorder,59
MAT-00264,PLT-US-01,Excess,56
MAT-00265,PLT-DE-02,Healthy,568
MAT-00266,PLT-DE-02,Near Reorder,812
MAT-00266,PLT-IN-03,Near Reorder,590
MAT-00266,PLT-US-01,Healthy,599
MAT-00267,PLT-IN-03,Excess,543
MAT-00267,PLT-US-01,Healthy,292
MAT-00268,PLT-IN-03,Excess,880
MAT-00268,PLT-US-01,Near Reorder,237
MAT-00269,PLT-DE-02,Safety Stock Warning,566
MAT-00269,PLT-US-01,Near Reorder,454
MAT-00270,PLT-DE-02,Healthy,790
MAT-00271,PLT-DE-02,Excess,2068
MAT-00271,PLT-US-01,Healthy,771
MAT-00272,PLT-DE-02,Safety Stock Warning,348
MAT-00272,PLT-US-01,Healthy,379
MAT-00273,PLT-US-01,Shortage,0
MAT-00274,PLT-IN-03,Safety Stock Warning,43
MAT-00274,PLT-US-01,Excess,546
MAT-00275,PLT-DE-02,Healthy,534
MAT-00275,PLT-IN-03,Near Reorder,592
MAT-00276,PLT-US-01,Shortage,0
MAT-00277,PLT-DE-02,Near Reorder,181
MAT-00277,PLT-IN-03,Near Reorder,656
MAT-00277,PLT-US-01,Near Reorder,329
MAT-00278,PLT-DE-02,Near Reorder,116
MAT-00278,PLT-US-01,Healthy,101
MAT-00279,PLT-DE-02,Healthy,497
MAT-00279,PLT-IN-03,Near Reorder,561
MAT-00280,PLT-DE-02,Healthy,273
MAT-00281,PLT-IN-03,Excess,591
MAT-00281,PLT-US-01,Safety Stock Warning,381
MAT-00282,PLT-DE-02,Healthy,1199
MAT-00282,PLT-IN-03,Healthy,649
MAT-00282,PLT-US-01,Safety Stock Warning,753
MAT-00283,PLT-IN-03,Healthy,957
MAT-00284,PLT-DE-02,Healthy,842
MAT-00284,PLT-IN-03,Healthy,1129
MAT-00285,PLT-DE-02,Healthy,296
MAT-00285,PLT-IN-03,Healthy,344
MAT-00286,PLT-DE-02,Healthy,1654
MAT-00286,PLT-IN-03,Healthy,1257
MAT-00287,PLT-DE-02,Healthy,1466
MAT-00288,PLT-DE-02,Healthy,866
MAT-00288,PLT-IN-03,Near Reorder,944
MAT-00289,PLT-IN-03,Safety Stock Warning,150
MAT-00290,PLT-IN-03,Healthy,1033
MAT-00291,PLT-US-01,Healthy,553
MAT-00292,PLT-DE-02,Near Reorder,1418
MAT-00292,PLT-US-01,Safety Stock Warning,225
MAT-00293,PLT-DE-02,Excess,1081
MAT-00293,PLT-US-01,Healthy,383
MAT-00294,PLT-IN-03,Healthy,812
MAT-00295,PLT-IN-03,Healthy,21
MAT-00296,PLT-IN-03,Healthy,169
MAT-00296,PLT-US-01,Healthy,171
MAT-00297,PLT-US-01,Near Reorder,257
MAT-00298,PLT-DE-02,Near Reorder,285
MAT-00298,PLT-US-01,Healthy,357
MAT-00299,PLT-DE-02,Healthy,262
MAT-00299,PLT-US-01,Healthy,237
MAT-00300,PLT-DE-02,Near Reorder,347
MAT-00300,PLT-IN-03,Healthy,1054
MAT-00301,PLT-DE-02,Excess,1486
MAT-00301,PLT-IN-03,Safety Stock Warning,567
MAT-00301,PLT-US-01,Healthy,610
MAT-00302,PLT-US-01,Healthy,80
MAT-00303,PLT-DE-02,Excess,1809
MAT-00303,PLT-US-01,Near Reorder,443
MAT-00304,PLT-IN-03,Healthy,710
MAT-00305,PLT-DE-02,Healthy,1178
MAT-00305,PLT-US-01,Excess,2414
MAT-00306,PLT-DE-02,Healthy,2123
MAT-00306,PLT-US-01,Safety Stock Warning,371
MAT-00307,PLT-IN-03,Healthy,547
MAT-00307,PLT-US-01,Healthy,721
MAT-00308,PLT-IN-03,Shortage,6
MAT-00309,PLT-IN-03,Healthy,1188
MAT-00310,PLT-DE-02,Safety Stock Warning,1011
MAT-00310,PLT-IN-03,Healthy,1045
MAT-00310,PLT-US-01,Safety Stock Warning,336
MAT-00311,PLT-IN-03,Healthy,820
MAT-00311,PLT-US-01,Healthy,708
MAT-00312,PLT-DE-02,Healthy,529
MAT-00312,PLT-IN-03,Near Reorder,780
MAT-00313,PLT-IN-03,Healthy,327
MAT-00313,PLT-US-01,Healthy,359
MAT-00314,PLT-US-01,Healthy,961
MAT-00315,PLT-DE-02,Excess,2289
MAT-00316,PLT-DE-02,Healthy,613
MAT-00317,PLT-US-01,Healthy,477
MAT-00318,PLT-US-01,Healthy,918
MAT-00319,PLT-IN-03,Healthy,709
MAT-00319,PLT-US-01,Near Reorder,1035
MAT-00320,PLT-DE-02,Healthy,1268
MAT-00321,PLT-DE-02,Excess,1928
MAT-00321,PLT-IN-03,Healthy,807
MAT-00321,PLT-US-01,Healthy,675
MAT-00322,PLT-DE-02,Healthy,218
MAT-00322,PLT-IN-03,Near Reorder,668
MAT-00323,PLT-DE-02,Near Reorder,410
MAT-00323,PLT-IN-03,Healthy,1167
MAT-00324,PLT-DE-02,Near Reorder,418
MAT-00325,PLT-US-01,Healthy,541
MAT-00326,PLT-IN-03,Healthy,533
MAT-00326,PLT-US-01,Healthy,774
MAT-00327,PLT-DE-02,Healthy,203
MAT-00328,PLT-US-01,Healthy,910
MAT-00329,PLT-DE-02,Healthy,645
MAT-00329,PLT-IN-03,Safety Stock Warning,79
MAT-00330,PLT-US-01,Healthy,58
MAT-00331,PLT-US-01,Excess,191
MAT-00332,PLT-US-01,Healthy,169
MAT-00333,PLT-DE-02,Healthy,97
MAT-00334,PLT-IN-03,Healthy,1268
MAT-00334,PLT-US-01,Excess,2161
MAT-00335,PLT-DE-02,Near Reorder,62
MAT-00336,PLT-US-01,Healthy,1120
MAT-00337,PLT-DE-02,Healthy,575
MAT-00338,PLT-DE-02,Excess,2796
MAT-00338,PLT-US-01,Excess,3318
MAT-00339,PLT-DE-02,Excess,821
MAT-00339,PLT-IN-03,Healthy,332
MAT-00340,PLT-IN-03,Safety Stock Warning,935
MAT-00340,PLT-US-01,Near Reorder,546
MAT-00341,PLT-DE-02,Near Reorder,28
MAT-00341,PLT-IN-03,Healthy,103
MAT-00342,PLT-DE-02,Healthy,1281
MAT-00342,PLT-IN-03,Healthy,908
MAT-00343,PLT-US-01,Healthy,971
MAT-00344,PLT-DE-02,Near Reorder,47
MAT-00344,PLT-IN-03,Healthy,67
MAT-00345,PLT-DE-02,Healthy,545
MAT-00346,PLT-DE-02,Healthy,1475
MAT-00346,PLT-IN-03,Shortage,56
MAT-00346,PLT-US-01,Safety Stock Warning,886
MAT-00347,PLT-DE-02,Excess,2082
MAT-00347,PLT-US-01,Healthy,714
