bom_id,product_id,material_id,quantity_per_unit,bom_version,effective_date
BOM-00055,PROD-0003,MAT-00203,1.89,V1,2025-01-01
BOM-00056,PROD-0003,MAT-00031,7.28,V1,2025-01-01
BOM-00057,PROD-0003,MAT-00429,0.46,V1,2025-01-01
BOM-00058,PROD-0003,MAT-00035,7.71,V1,2025-01-01
BOM-00059,PROD-0003,MAT-00394,4.17,V1,2025-01-01
BOM-00060,PROD-0003,MAT-00411,6.32,V1,2025-01-01
BOM-00061,PROD-0003,MAT-00346,7.86,V1,2025-01-01
BOM-00062,PROD-0003,MAT-00268,0.95,V1,2025-01-01
BOM-00063,PROD-0003,MAT-00358,0.26,V1,2025-01-01
BOM-00064,PROD-0003,MAT-00249,7.99,V1,2025-01-01
BOM-00065,PROD-0003,MAT-00022,0.91,V1,2025-01-01
BOM-00066,PROD-0003,MAT-00281,6.58,V1,2025-01-01
BOM-00067,PROD-0004,MAT-00122,0.24,V1,2025-01-01
BOM-00068,PROD-0004,MAT-00131,0.53,V1,2025-01-01
BOM-00069,PROD-0004,MAT-00172,2.05,V1,2025-01-01
BOM-00070,PROD-0004,MAT-00083,0.23,V1,2025-01-01
BOM-00071,PROD-0004,MAT-00317,7.58,V1,2025-01-01
BOM-00072,PROD-0004,MAT-00421,1.96,V1,2025-01-01
BOM-00073,PROD-0004,MAT-00158,5.42,V1,2025-01-01
BOM-00074,PROD-0004,MAT-00454,1.08,V1,2025-01-01
BOM-00075,PROD-0004,MAT-00194,2.13,V1,2025-01-01
BOM-00076,PROD-0004,MAT-00034,0.27,V1,2025-01-01
BOM-00077,PROD-0004,MAT-00113,1.97,V1,2025-01-01
BOM-00078,PROD-0004,MAT-00299,1.09,V1,2025-01-01
BOM-00079,PROD-0004,MAT-00127,3.67,V1,2025-01-01
BOM-00080,PROD-0004,MAT-00423,1.06,V1,2025-01-01
BOM-00081,PROD-0004,MAT-00390,6.59,V1,2025-01-01
BOM-00082,PROD-0004,MAT-00110,0.23,V1,2025-01-01
BOM-00083,PROD-0004,MAT-00247,0.96,V1,2025-01-01
BOM-00084,PROD-0005,MAT-00432,2.07,V1,2025-01-01
BOM-00085,PROD-0005,MAT-00319,3.72,V1,2025-01-01
BOM-00086,PROD-0005,MAT-00102,1.05,V1,2025-01-01
BOM-00087,PROD-0005,MAT-00203,3.8,V1,2025-01-01
BOM-00088,PROD-0005,MAT-00405,0.49,V1,2025-01-01
BOM-00089,PROD-0005,MAT-00086,2.03,V1,2025-01-01
BOM-00090,PROD-0005,MAT-00421,3.71,V1,2025-01-01
BOM-00091,PROD-0005,MAT-00363,0.99,V1,2025-01-01
BOM-00092,PROD-0005,MAT-00119,0.91,V1,2025-01-01
BOM-00093,PROD-0005,MAT-00423,1.08,V1,2025-01-01
BOM-00094,PROD-0005,MAT-00464,2.15,V1,2025-01-01
BOM-00095,PROD-0005,MAT-00075,0.96,V1,2025-01-01
BOM-00096,PROD-0005,MAT-00234,8.01,V1,2025-01-01
BOM-00097,PROD-0005,MAT-00096,7.38,V1,2025-01-01
BOM-00098,PROD-0005,MAT-00010,0.9,V1,2025-01-01
BOM-00099,PROD-0005,MAT-00132,5.76,V1,2025-01-01
BOM-00100,PROD-0005,MAT-00394,5.71,V1,2025-01-01
BOM-00101,PROD-0005,MAT-00240,0.52,V1,2025-01-01
BOM-00102,PROD-0005,MAT-00448,0.47,V1,2025-01-01
BOM-00103,PROD-0005,MAT-00193,0.54,V1,2025-01-01
BOM-00104,PROD-0005,MAT-00118,5.59,V1,2025-01-01
BOM-00105,PROD-0005,MAT-00489,1.08,V1,2025-01-01
BOM-00106,PROD-0005,MAT-00422,0.27,V1,2025-01-01
BOM-00107,PROD-0005,MAT-00454,0.52,V1,2025-01-01
BOM-00108,PROD-0005,MAT-00356,8.63,V1,2025-01-01
BOM-00109,PROD-0005,MAT-00268,5.71,V1,2025-01-01
BOM-00110,PROD-0005,MAT-00346,2.18,V1,2025-01-01
BOM-00111,PROD-0005,MAT-00415,0.96,V1,2025-01-01
BOM-00112,PROD-0006,MAT-00485,0.48,V1,2025-01-01
BOM-00113,PROD-0006,MAT-00066,8.68,V1,2025-01-01
BOM-00114,PROD-0006,MAT-00050,2.07,V1,2025-01-01
BOM-00115,PROD-0006,MAT-00479,8.34,V1,2025-01-01
BOM-00116,PROD-0006,MAT-00207,1.88,V1,2025-01-01
BOM-00117,PROD-0006,MAT-00287,1.01,V1,2025-01-01
BOM-00118,PROD-0006,MAT-00184,8.77,V1,2025-01-01
BOM-00119,PROD-0006,MAT-00435,1.01,V1,2025-01-01
BOM-00120,PROD-0006,MAT-00102,1.9,V1,2025-01-01
BOM-00121,PROD-0006,MAT-00208,0.96,V1,2025-01-01
BOM-00122,PROD-0006,MAT-00300,4.07,V1,2025-01-01
BOM-00123,PROD-0006,MAT-00131,1.9,V1,2025-01-01
BOM-00124,PROD-0006,MAT-00026,0.26,V1,2025-01-01
BOM-00125,PROD-0006,MAT-00069,0.91,V1,2025-01-01
BOM-00126,PROD-0006,MAT-00005,2.18,V1,2025-01-01
BOM-00127,PROD-0006,MAT-00101,4.08,V1,2025-01-01
BOM-00128,PROD-0006,MAT-00149,0.24,V1,2025-01-01
BOM-00129,PROD-0006,MAT-00124,5.59,V1,2025-01-01
BOM-00130,PROD-0006,MAT-00157,2.13,V1,2025-01-01
BOM-00131,PROD-0006,MAT-00193,4.05,V1,2025-01-01
BOM-00132,PROD-0006,MAT-00329,3.87,V1,2025-01-01
BOM-00133,PROD-0006,MAT-00420,8.08,V1,2025-01-01
BOM-00134,PROD-0006,MAT-00378,0.92,V1,2025-01-01
BOM-00135,PROD-0006,MAT-00434,2.06,V1,2025-01-01
BOM-00136,PROD-0006,MAT-00375,0.48,V1,2025-01-01
BOM-00137,PROD-0006,MAT-00015,0.51,V1,2025-01-01
BOM-00138,PROD-0007,MAT-00496,1.95,V1,2025-01-01
BOM-00139,PROD-0007,MAT-00118,3.66,V1,2025-01-01
BOM-00140,PROD-0007,MAT-00005,1.89,V1,2025-01-01
BOM-00141,PROD-0007,MAT-00407,1.95,V1,2025-01-01
BOM-00142,PROD-0007,MAT-00254,0.46,V1,2025-01-01
BOM-00143,PROD-0007,MAT-00006,4.28,V1,2025-01-01
BOM-00144,PROD-0007,MAT-00108,2.02,V1,2025-01-01
BOM-00145,PROD-0007,MAT-00301,0.24,V1,2025-01-01
BOM-00146,PROD-0007,MAT-00180,0.26,V1,2025-01-01
BOM-00147,PROD-0007,MAT-00027,6.18,V1,2025-01-01
BOM-00148,PROD-0007,MAT-00345,7.88,V1,2025-01-01
BOM-00149,PROD-0007,MAT-00171,1.82,V1,2025-01-01
BOM-00150,PROD-0007,MAT-00166,0.99,V1,2025-01-01
BOM-00151,PROD-0007,MAT-00409,3.91,V1,2025-01-01
BOM-00152,PROD-0007,MAT-00183,5.77,V1,2025-01-01
BOM-00153,PROD-0007,MAT-00120,0.27,V1,2025-01-01
BOM-00154,PROD-0007,MAT-00359,1.83,V1,2025-01-01
BOM-00155,PROD-0007,MAT-00393,1.05,V1,2025-01-01
BOM-00156,PROD-0007,MAT-00112,0.95,V1,2025-01-01
BOM-00157,PROD-0007,MAT-00103,0.46,V1,2025-01-01
BOM-00158,PROD-0007,MAT-00097,1.94,V1,2025-01-01
BOM-00159,PROD-0007,MAT-00217,3.83,V1,2025-01-01
BOM-00160,PROD-0007,MAT-00429,1.01,V1,2025-01-01
BOM-00161,PROD-0008,MAT-00478,0.51,V1,2025-01-01
BOM-00162,PROD-0008,MAT-00154,1.95,V1,2025-01-01
BOM-00163,PROD-0008,MAT-00181,0.91,V1,2025-01-01
BOM-00164,PROD-0008,MAT-00117,1.9,V1,2025-01-01
BOM-00165,PROD-0008,MAT-00108,0.25,V1,2025-01-01
BOM-00166,PROD-0008,MAT-00159,0.91,V1,2025-01-01
BOM-00167,PROD-0008,MAT-00077,0.96,V1,2025-01-01
BOM-00168,PROD-0008,MAT-00087,7.21,V1,2025-01-01
BOM-00169,PROD-0008,MAT-00216,0.55,V1,2025-01-01
BOM-00170,PROD-0008,MAT-00226,6.13,V1,2025-01-01
BOM-00171,PROD-0008,MAT-00488,0.99,V1,2025-01-01
BOM-00172,PROD-0008,MAT-00211,0.54,V1,2025-01-01
BOM-00173,PROD-0008,MAT-00178,1.02,V1,2025-01-01
BOM-00174,PROD-0008,MAT-00085,1.88,V1,2025-01-01
BOM-00175,PROD-0008,MAT-00413,0.23,V1,2025-01-01
BOM-00176,PROD-0009,MAT-00481,8.13,V1,2025-01-01
BOM-00177,PROD-0009,MAT-00101,0.52,V1,2025-01-01
BOM-00178,PROD-0009,MAT-00451,7.64,V1,2025-01-01
BOM-00179,PROD-0009,MAT-00193,1.02,V1,2025-01-01
BOM-00180,PROD-0009,MAT-00348,0.53,V1,2025-01-01
BOM-00181,PROD-0009,MAT-00418,0.23,V1,2025-01-01
BOM-00182,PROD-0009,MAT-00207,2.04,V1,2025-01-01
BOM-00183,PROD-0009,MAT-00048,1.04,V1,2025-01-01
BOM-00184,PROD-0009,MAT-00301,2.14,V1,2025-01-01
BOM-00185,PROD-0009,MAT-00346,1.91,V1,2025-01-01
BOM-00186,PROD-0009,MAT-00327,0.92,V1,2025-01-01
BOM-00187,PROD-0009,MAT-00210,7.77,V1,2025-01-01
BOM-00188,PROD-0009,MAT-00239,2.12,V1,2025-01-01
BOM-00189,PROD-0009,MAT-00172,2.02,V1,2025-01-01
BOM-00190,PROD-0009,MAT-00180,1.99,V1,2025-01-01
BOM-00191,PROD-0009,MAT-00157,0.23,V1,2025-01-01
BOM-00192,PROD-0009,MAT-00026,7.58,V1,2025-01-01
BOM-00193,PROD-0010,MAT-00014,0.23,V1,2025-01-01
BOM-00194,PROD-0010,MAT-00152,7.73,V1,2025-01-01
BOM-00195,PROD-0010,MAT-00039,0.94,V1,2025-01-01
BOM-00196,PROD-0010,MAT-00213,7.9,V1,2025-01-01
BOM-00197,PROD-0010,MAT-00480,1.04,V1,2025-01-01
BOM-00198,PROD-0010,MAT-00498,1.04,V1,2025-01-01
BOM-00199,PROD-0010,MAT-00016,7.65,V1,2025-01-01
BOM-00200,PROD-0010,MAT-00287,1.05,V1,2025-01-01
BOM-00201,PROD-0010,MAT-00378,0.24,V1,2025-01-01
BOM-00202,PROD-0010,MAT-00123,1.06,V1,2025-01-01
BOM-00203,PROD-0010,MAT-00381,0.92,V1,2025-01-01
BOM-00204,PROD-0010,MAT-00367,2.06,V1,2025-01-01
BOM-00205,PROD-0010,MAT-00009,0.98,V1,2025-01-01
BOM-00206,PROD-0010,MAT-00089,5.46,V1,2025-01-01
BOM-00207,PROD-0010,MAT-00473,1.9,V1,2025-01-01
BOM-00208,PROD-0010,MAT-00293,2.03,V1,2025-01-01
BOM-00209,PROD-0010,MAT-00058,5.56,V1,2025-01-01
BOM-00210,PROD-0010,MAT-00045,0.54,V1,2025-01-01
BOM-00211,PROD-0010,MAT-00074,1.96,V1,2025-01-01
BOM-00212,PROD-0010,MAT-00149,0.95,V1,2025-01-01
BOM-00213,PROD-0011,MAT-00002,0.24,V1,2025-01-01
BOM-00214,PROD-0011,MAT-00033,1.01,V1,2025-01-01
BOM-00215,PROD-0011,MAT-00357,0.48,V1,2025-01-01
BOM-00216,PROD-0011,MAT-00459,1.06,V1,2025-01-01
BOM-00217,PROD-0011,MAT-00440,8.63,V1,2025-01-01
BOM-00218,PROD-0011,MAT-00255,1.04,V1,2025-01-01
BOM-00219,PROD-0011,MAT-00423,8.67,V1,2025-01-01
BOM-00220,PROD-0011,MAT-00344,0.46,V1,2025-01-01
BOM-00221,PROD-0011,MAT-00352,0.23,V1,2025-01-01
BOM-00222,PROD-0011,MAT-00295,0.55,V1,2025-01-01
BOM-00223,PROD-0011,MAT-00277,0.52,V1,2025-01-01
BOM-00224,PROD-0011,MAT-00075,0.48,V1,2025-01-01
BOM-00225,PROD-0011,MAT-00225,8.22,V1,2025-01-01
BOM-00226,PROD-0011,MAT-00419,3.8,V1,2025-01-01
BOM-00227,PROD-0011,MAT-00301,7.69,V1,2025-01-01
BOM-00228,PROD-0011,MAT-00172,1.81,V1,2025-01-01
BOM-00229,PROD-0011,MAT-00215,0.91,V1,2025-01-01
BOM-00230,PROD-0011,MAT-00021,1.87,V1,2025-01-01
BOM-00231,PROD-0011,MAT-00046,0.52,V1,2025-01-01
BOM-00232,PROD-0011,MAT-00104,6.18,V1,2025-01-01
BOM-00233,PROD-0011,MAT-00223,3.73,V1,2025-01-01
BOM-00234,PROD-0011,MAT-00413,5.99,V1,2025-01-01
BOM-00235,PROD-0011,MAT-00275,0.25,V1,2025-01-01
BOM-00236,PROD-0011,MAT-00374,2.09,V1,2025-01-01
BOM-00237,PROD-0012,MAT-00283,0.46,V1,2025-01-01
BOM-00238,PROD-0012,MAT-00483,5.56,V1,2025-01-01
BOM-00239,PROD-0012,MAT-00359,6.41,V1,2025-01-01
BOM-00240,PROD-0012,MAT-00094,3.87,V1,2025-01-01
BOM-00241,PROD-0012,MAT-00409,0.52,V1,2025-01-01
BOM-00242,PROD-0012,MAT-00003,1.09,V1,2025-01-01
BOM-00243,PROD-0012,MAT-00171,7.69,V1,2025-01-01
BOM-00244,PROD-0012,MAT-00264,4.24,V1,2025-01-01
BOM-00245,PROD-0012,MAT-00160,3.64,V1,2025-01-01
BOM-00246,PROD-0012,MAT-00191,1.92,V1,2025-01-01
BOM-00247,PROD-0012,MAT-00058,1.9,V1,2025-01-01
BOM-00248,PROD-0012,MAT-00346,0.23,V1,2025-01-01
BOM-00249,PROD-0012,MAT-00118,2.09,V1,2025-01-01
BOM-00250,PROD-0012,MAT-00011,2.0,V1,2025-01-01
BOM-00251,PROD-0012,MAT-00374,0.26,V1,2025-01-01
BOM-00252,PROD-0012,MAT-00321,4.02,V1,2025-01-01
BOM-00253,PROD-0012,MAT-00127,7.43,V1,2025-01-01
BOM-00254,PROD-0012,MAT-00479,0.5,V1,2025-01-01
BOM-00255,PROD-0012,MAT-00393,0.47,V1,2025-01-01
BOM-00256,PROD-0012,MAT-00300,2.04,V1,2025-01-01
BOM-00257,PROD-0012,MAT-00167,0.25,V1,2025-01-01
BOM-00258,PROD-0012,MAT-00475,0.53,V1,2025-01-01
BOM-00259,PROD-0012,MAT-00370,3.93,V1,2025-01-01
BOM-00260,PROD-0012,MAT-00340,1.98,V1,2025-01-01
BOM-00261,PROD-0012,MAT-00342,8.22,V1,2025-01-01
BOM-00262,PROD-0012,MAT-00024,0.9,V1,2025-01-01
BOM-00263,PROD-0013,MAT-00342,0.27,V1,2025-01-01
BOM-00264,PROD-0013,MAT-00162,2.05,V1,2025-01-01
BOM-00265,PROD-0013,MAT-00072,6.04,V1,2025-01-01
BOM-00266,PROD-0013,MAT-00283,1.9,V1,2025-01-01
BOM-00267,PROD-0013,MAT-00286,5.55,V1,2025-01-01
BOM-00268,PROD-0013,MAT-00122,1.96,V1,2025-01-01
BOM-00269,PROD-0013,MAT-00438,0.53,V1,2025-01-01
BOM-00270,PROD-0013,MAT-00419,2.0,V1,2025-01-01
BOM-00271,PROD-0013,MAT-00035,5.94,V1,2025-01-01
BOM-00272,PROD-0013,MAT-00071,0.23,V1,2025-01-01
BOM-00273,PROD-0013,MAT-00448,1.85,V1,2025-01-01
BOM-00274,PROD-0013,MAT-00319,7.93,V1,2025-01-01
BOM-00275,PROD-0013,MAT-00155,0.49,V1,2025-01-01
BOM-00276,PROD-0013,MAT-00304,6.15,V1,2025-01-01
BOM-00277,PROD-0013,MAT-00092,3.93,V1,2025-01-01
BOM-00278,PROD-0013,MAT-00288,1.04,V1,2025-01-01
BOM-00279,PROD-0013,MAT-00098,2.0,V1,2025-01-01
BOM-00280,PROD-0013,MAT-00033,3.79,V1,2025-01-01
BOM-00281,PROD-0013,MAT-00014,3.76,V1,2025-01-01
BOM-00282,PROD-0013,MAT-00275,0.27,V1,2025-01-01
BOM-00283,PROD-0013,MAT-00211,7.6,V1,2025-01-01
BOM-00284,PROD-0013,MAT-00163,2.1,V1,2025-01-01
BOM-00285,PROD-0013,MAT-00380,5.6,V1,2025-01-01
BOM-00286,PROD-0013,MAT-00181,0.24,V1,2025-01-01
BOM-00287,PROD-0013,MAT-00322,1.98,V1,2025-01-01
BOM-00288,PROD-0014,MAT-00195,1.07,V1,2025-01-01
BOM-00289,PROD-0014,MAT-00283,4.15,V1,2025-01-01
BOM-00290,PROD-0014,MAT-00161,5.6,V1,2025-01-01
BOM-00291,PROD-0014,MAT-00267,0.47,V1,2025-01-01
BOM-00292,PROD-0014,MAT-00108,3.82,V1,2025-01-01
BOM-00293,PROD-0014,MAT-00064,1.96,V1,2025-01-01
BOM-00294,PROD-0014,MAT-00170,3.91,V1,2025-01-01
BOM-00295,PROD-0014,MAT-00189,2.12,V1,2025-01-01
BOM-00296,PROD-0014,MAT-00080,5.68,V1,2025-01-01
BOM-00297,PROD-0014,MAT-00376,1.95,V1,2025-01-01
BOM-00298,PROD-0014,MAT-00028,2.14,V1,2025-01-01
BOM-00299,PROD-0014,MAT-00268,0.92,V1,2025-01-01
BOM-00300,PROD-0014,MAT-00279,7.64,V1,2025-01-01
BOM-00301,PROD-0014,MAT-00312,4.35,V1,2025-01-01
BOM-00302,PROD-0014,MAT-00251,2.12,V1,2025-01-01
BOM-00303,PROD-0014,MAT-00369,1.99,V1,2025-01-01
BOM-00304,PROD-0014,MAT-00085,1.03,V1,2025-01-01
BOM-00305,PROD-0014,MAT-00119,0.93,V1,2025-01-01
BOM-00306,PROD-0014,MAT-00125,5.59,V1,2025-01-01
BOM-00307,PROD-0014,MAT-00037,8.45,V1,2025-01-01
BOM-00308,PROD-0014,MAT-00158,1.1,V1,2025-01-01
BOM-00309,PROD-0014,MAT-00448,4.03,V1,2025-01-01
BOM-00310,PROD-0014,MAT-00432,0.93,V1,2025-01-01
BOM-00311,PROD-0014,MAT-00371,4.34,V1,2025-01-01
BOM-00312,PROD-0014,MAT-00445,3.76,V1,2025-01-01
BOM-00313,PROD-0014,MAT-00234,2.13,V1,2025-01-01
BOM-00314,PROD-0014,MAT-00405,3.92,V1,2025-01-01
BOM-00315,PROD-0014,MAT-00243,1.91,V1,2025-01-01
BOM-00316,PROD-0014,MAT-00046,0.26,V1,2025-01-01
BOM-00317,PROD-0015,MAT-00413,7.8,V1,2025-01-01
BOM-00318,PROD-0015,MAT-00189,1.87,V1,2025-01-01
BOM-00319,PROD-0015,MAT-00121,2.15,V1,2025-01-01
BOM-00320,PROD-0015,MAT-00074,0.27,V1,2025-01-01
BOM-00321,PROD-0015,MAT-00042,2.1,V1,2025-01-01
BOM-00322,PROD-0015,MAT-00266,0.27,V1,2025-01-01
BOM-00323,PROD-0015,MAT-00259,2.04,V1,2025-01-01
BOM-00324,PROD-0015,MAT-00066,1.0,V1,2025-01-01
BOM-00325,PROD-0015,MAT-00220,0.45,V1,2025-01-01
BOM-00326,PROD-0015,MAT-00212,5.92,V1,2025-01-01
BOM-00327,PROD-0015,MAT-00441,0.54,V1,2025-01-01
BOM-00328,PROD-0015,MAT-00396,0.45,V1,2025-01-01
BOM-00329,PROD-0015,MAT-00112,0.24,V1,2025-01-01
BOM-00330,PROD-0015,MAT-00484,5.72,V1,2025-01-01
BOM-00331,PROD-0015,MAT-00146,1.09,V1,2025-01-01
BOM-00332,PROD-0016,MAT-00111,1.06,V1,2025-01-01
BOM-00333,PROD-0016,MAT-00470,6.43,V1,2025-01-01
BOM-00334,PROD-0016,MAT-00413,3.62,V1,2025-01-01
BOM-00335,PROD-0016,MAT-00377,4.38,V1,2025-01-01
BOM-00336,PROD-0016,MAT-00268,8.62,V1,2025-01-01
BOM-00337,PROD-0016,MAT-00340,0.27,V1,2025-01-01
BOM-00338,PROD-0016,MAT-00483,4.04,V1,2025-01-01
BOM-00339,PROD-0016,MAT-00088,2.14,V1,2025-01-01
BOM-00340,PROD-0016,MAT-00376,2.0,V1,2025-01-01
BOM-00341,PROD-0016,MAT-00459,0.49,V1,2025-01-01
BOM-00342,PROD-0016,MAT-00361,0.5,V1,2025-01-01
BOM-00343,PROD-0016,MAT-00399,1.09,V1,2025-01-01
BOM-00344,PROD-0016,MAT-00250,0.23,V1,2025-01-01
BOM-00345,PROD-0016,MAT-00444,1.09,V1,2025-01-01
BOM-00346,PROD-0016,MAT-00238,0.95,V1,2025-01-01
BOM-00347,PROD-0016,MAT-00490,5.45,V1,2025-01-01
BOM-00348,PROD-0017,MAT-00080,1.94,V1,2025-01-01
BOM-00349,PROD-0017,MAT-00385,0.94,V1,2025-01-01
BOM-00350,PROD-0017,MAT-00297,3.93,V1,2025-01-01
BOM-00351,PROD-0017,MAT-00075,0.52,V1,2025-01-01
BOM-00352,PROD-0017,MAT-00371,1.06,V1,2025-01-01
BOM-00353,PROD-0017,MAT-00348,8.23,V1,2025-01-01
BOM-00354,PROD-0017,MAT-00383,3.88,V1,2025-01-01
BOM-00355,PROD-0017,MAT-00106,1.02,V1,2025-01-01
BOM-00356,PROD-0017,MAT-00119,0.25,V1,2025-01-01
BOM-00357,PROD-0017,MAT-00127,3.95,V1,2025-01-01
BOM-00358,PROD-0017,MAT-00301,1.89,V1,2025-01-01
BOM-00359,PROD-0017,MAT-00273,6.2,V1,2025-01-01
BOM-00360,PROD-0017,MAT-00067,2.12,V1,2025-01-01
BOM-00361,PROD-0017,MAT-00402,1.0,V1,2025-01-01
BOM-00362,PROD-0017,MAT-00029,1.93,V1,2025-01-01
BOM-00363,PROD-0017,MAT-00499,0.26,V1,2025-01-01
BOM-00364,PROD-0017,MAT-00455,0.23,V1,2025-01-01
BOM-00365,PROD-0017,MAT-00349,4.29,V1,2025-01-01
BOM-00366,PROD-0017,MAT-00247,0.24,V1,2025-01-01
BOM-00367,PROD-0017,MAT-00245,4.17,V1,2025-01-01
BOM-00368,PROD-0017,MAT-00406,0.94,V1,2025-01-01
BOM-00369,PROD-0017,MAT-00238,1.03,V1,2025-01-01
BOM-00370,PROD-0018,MAT-00145,0.49,V1,2025-01-01
BOM-00371,PROD-0018,MAT-00027,8.43,V1,2025-01-01
BOM-00372,PROD-0018,MAT-00299,7.39,V1,2025-01-01
BOM-00373,PROD-0018,MAT-00114,4.1,V1,2025-01-01
BOM-00374,PROD-0018,MAT-00094,0.99,V1,2025-01-01
BOM-00375,PROD-0018,MAT-00124,2.15,V1,2025-01-01
BOM-00376,PROD-0018,MAT-00397,8.5,V1,2025-01-01
BOM-00377,PROD-0018,MAT-00196,2.1,V1,2025-01-01
BOM-00378,PROD-0018,MAT-00443,0.95,V1,2025-01-01
BOM-00379,PROD-0018,MAT-00054,4.35,V1,2025-01-01
BOM-00380,PROD-0018,MAT-00112,1.03,V1,2025-01-01
BOM-00381,PROD-0018,MAT-00152,0.91,V1,2025-01-01
BOM-00382,PROD-0018,MAT-00110,7.72,V1,2025-01-01
BOM-00383,PROD-0018,MAT-00229,2.1,V1,2025-01-01
BOM-00384,PROD-0018,MAT-00311,0.48,V1,2025-01-01
BOM-00385,PROD-0018,MAT-00382,0.94,V1,2025-01-01
BOM-00386,PROD-0018,MAT-00037,1.04,V1,2025-01-01
BOM-00387,PROD-0018,MAT-00231,7.74,V1,2025-01-01
BOM-00388,PROD-0018,MAT-00139,1.95,V1,2025-01-01
BOM-00389,PROD-0018,MAT-00476,5.73,V1,2025-01-01
BOM-00390,PROD-0019,MAT-00370,1.04,V1,2025-01-01
BOM-00391,PROD-0019,MAT-00025,1.05,V1,2025-01-01
BOM-00392,PROD-0019,MAT-00451,0.47,V1,2025-01-01
BOM-00393,PROD-0019,MAT-00263,0.51,V1,2025-01-01
BOM-00394,PROD-0019,MAT-00123,0.94,V1,2025-01-01
BOM-00395,PROD-0019,MAT-00381,1.85,V1,2025-01-01
BOM-00396,PROD-0019,MAT-00413,0.97,V1,2025-01-01
BOM-00397,PROD-0019,MAT-00080,2.14,V1,2025-01-01
BOM-00398,PROD-0019,MAT-00171,2.06,V1,2025-01-01
