po_id,po_line,material_id,supplier_id,plant_id,order_qty,open_qty,unit_price,order_date,expected_receipt_date,status
PO-00103,1,MAT-00478,SUP-091,PLT-DE-02,750,214,19.17,2026-07-10,2026-07-20,Partially Received
PO-00104,1,MAT-00478,SUP-093,PLT-DE-02,25,25,21.99,2026-06-23,2026-07-04,Late
PO-00105,1,MAT-00485,SUP-060,PLT-IN-03,10,10,12.32,2026-06-17,2026-09-12,Open
PO-00106,1,MAT-00487,SUP-071,PLT-IN-03,20,20,48.18,2026-06-17,2026-06-28,Open
PO-00107,1,MAT-00490,SUP-070,PLT-DE-02,500,285,6.19,2026-07-06,2026-08-09,Partially Received
PO-00108,1,MAT-00492,SUP-015,PLT-US-01,150,86,15.43,2026-06-28,2026-07-02,Partially Received
PO-00109,1,MAT-00495,SUP-072,PLT-DE-02,3,1,29.63,2026-07-06,2026-07-23,Partially Received
PO-00110,1,MAT-00496,SUP-061,PLT-US-01,75,75,18.83,2026-06-23,2026-07-01,Late
PO-00111,1,MAT-00497,SUP-001,PLT-IN-03,100,100,40.33,2026-07-13,2026-08-05,Open
PO-00112,1,MAT-00498,SUP-068,PLT-IN-03,200,200,10.23,2026-07-12,2026-09-09,Open
PO-00113,1,MAT-00500,SUP-040,PLT-DE-02,50,17,51.3,2026-07-02,2026-07-24,Partially Received
PO-00114,1,MAT-00319,SUP-024,PLT-IN-03,1500,1500,16.05,2026-06-28,2026-07-24,Open
PO-00115,1,MAT-00418,SUP-017,PLT-IN-03,1,0,2.96,2026-07-07,2026-07-19,Partially Received
PO-00116,1,MAT-00235,SUP-042,PLT-IN-03,20,20,7.13,2026-07-05,2026-07-19,Open
PO-00117,1,MAT-00339,SUP-075,PLT-IN-03,50,50,5.04,2026-07-09,2026-09-02,Open
PO-00118,1,MAT-00482,SUP-015,PLT-IN-03,500,500,10.22,2026-06-27,2026-07-10,Late
PO-00119,1,MAT-00473,SUP-065,PLT-IN-03,3,1,1.2,2026-06-22,2026-08-13,Partially Received
PO-00120,1,MAT-00060,SUP-055,PLT-US-01,100,100,14.39,2026-06-29,2026-07-11,Open
PO-00121,1,MAT-00395,SUP-097,PLT-IN-03,500,500,57.47,2026-07-01,2026-07-20,Open
PO-00122,1,MAT-00261,SUP-096,PLT-IN-03,20,20,2.86,2026-06-28,2026-08-02,Open
PO-00123,1,MAT-00005,SUP-067,PLT-DE-02,200,200,3.44,2026-07-09,2026-11-09,Open
PO-00124,1,MAT-00494,SUP-089,PLT-US-01,500,500,108.43,2026-07-12,2026-07-27,Open
PO-00125,1,MAT-00433,SUP-024,PLT-US-01,250,250,2.79,2026-07-10,2026-08-04,Open
PO-00126,1,MAT-00480,SUP-009,PLT-IN-03,300,300,13.27,2026-07-05,2026-09-06,Open
PO-00127,1,MAT-00206,SUP-076,PLT-IN-03,500,500,31.86,2026-07-07,2026-08-01,Open
PO-00128,1,MAT-00229,SUP-067,PLT-IN-03,25,13,9.08,2026-07-07,2026-10-23,Partially Received
PO-00129,1,MAT-00347,SUP-039,PLT-US-01,20,7,15.23,2026-06-28,2026-07-15,Late
PO-00130,1,MAT-00141,SUP-072,PLT-US-01,100,61,50.77,2026-06-23,2026-07-05,Partially Received
PO-00131,1,MAT-00290,SUP-029,PLT-IN-03,1,1,49.67,2026-07-12,2026-08-01,Open
PO-00132,1,MAT-00461,SUP-091,PLT-US-01,75,37,17.73,2026-07-01,2026-09-02,Partially Received
PO-00133,1,MAT-00310,SUP-006,PLT-US-01,100,28,1.76,2026-07-11,2026-07-29,Partially Received
PO-00134,1,MAT-00124,SUP-032,PLT-DE-02,10,10,66.88,2026-07-01,2026-07-19,Open
PO-00135,1,MAT-00007,SUP-096,PLT-US-01,10,10,5.78,2026-07-02,2026-08-05,Open
PO-00136,1,MAT-00422,SUP-024,PLT-DE-02,500,500,6.84,2026-06-24,2026-08-22,Open
PO-00137,1,MAT-00468,SUP-059,PLT-IN-03,30,30,6.37,2026-07-02,2026-08-20,Open
PO-00138,1,MAT-00326,SUP-089,PLT-US-01,250,250,14.17,2026-07-08,2026-08-02,Open
PO-00139,1,MAT-00198,SUP-095,PLT-US-01,150,150,1.12,2026-07-10,2026-07-19,Open
PO-00140,1,MAT-00025,SUP-055,PLT-DE-02,100,100,5.46,2026-07-11,2026-07-22,Open
PO-00141,1,MAT-00284,SUP-058,PLT-DE-02,30,11,4.69,2026-07-13,2026-08-09,Partially Received
PO-00142,1,MAT-00186,SUP-068,PLT-DE-02,75,75,5.09,2026-06-24,2026-07-18,Open
PO-00143,1,MAT-00197,SUP-018,PLT-IN-03,750,750,2.47,2026-06-29,2026-07-15,Open
PO-00144,1,MAT-00296,SUP-055,PLT-US-01,500,500,13.04,2026-06-29,2026-08-02,Open
PO-00145,1,MAT-00307,SUP-097,PLT-IN-03,10,10,4.81,2026-07-07,2026-09-01,Open
PO-00146,1,MAT-00077,SUP-056,PLT-DE-02,1500,1500,17.71,2026-06-24,2026-07-13,Late
PO-00147,1,MAT-00350,SUP-032,PLT-IN-03,1,0,5.06,2026-07-03,2026-07-19,Partially Received
PO-00148,1,MAT-00282,SUP-092,PLT-DE-02,2,2,1.61,2026-06-23,2026-07-15,Open
PO-00149,1,MAT-00162,SUP-023,PLT-IN-03,250,250,70.7,2026-07-05,2026-08-05,Open
PO-00150,1,MAT-00389,SUP-031,PLT-US-01,200,200,11.87,2026-07-10,2026-09-16,Open
PO-00151,1,MAT-00458,SUP-060,PLT-US-01,3,3,7.63,2026-06-29,2026-09-06,Open
PO-00152,1,MAT-00042,SUP-044,PLT-IN-03,1000,657,10.9,2026-07-11,2026-08-05,Partially Received
PO-00153,1,MAT-00413,SUP-046,PLT-DE-02,10,10,10.49,2026-06-27,2026-07-15,Open
